Category;Code;EN;FR
PEC;PEC0003B;Establish a high degree of trust and credibility with others;Établir un degré élevé de confiance et de crédibilité avec les autres
PEC;PEC0003C;Maintain open lines of communication with others;Maintenir des lignes de communication ouvertes avec les autres
PEC;PEC0004;Respecting diversity;Respecter la diversité
PEC;PEC0004;Respecting diversity;Respecter la diversité
PEC;PEC0004A;Demonstrate sensitivity, flexibility, and open-mindedness when dealing with different values, beliefs, perspectives, customs, or opinions;Faire preuve de sensibilité, de flexibilité et d'ouverture d'esprit face à différentes valeurs, croyances, perspectives, coutumes ou opinions
PEC;PEC0004B;Interact respectfully and cooperatively with others who are of a different race, culture, or age, or have different abilities, gender, or sexual orientation;Interagir de manière respectueuse et coopérative avec d'autres personnes de race, de culture ou d'âge différents ou qui ont des capacités, un sexe ou une orientation sexuelle différents
PEC;PEC0004C;Value an environment that supports and accommodates a diversity of people and ideas;Valoriser un environnement qui soutient et accueille une diversité de personnes et d'idées
PEC;PEC0005;Behaving ethically;Se comporter de manière éthique
PEC;PEC0005;Behaving ethically;Se comporter de manière éthique
PEC;PEC0005A;Abide by a strict code of ethics and behavior;Respectez un code d'éthique et de comportement strict
PEC;PEC0005B;Choose an ethical course of action and do the right thing, even in the face of opposition;Choisissez une ligne de conduite éthique et faites ce qu'il faut, même face à l'opposition
PEC;PEC0005C;Encourage others to behave ethically;Encouragez les autres à se comporter de manière éthique
PEC;PEC0005D;Perform work-related duties according to laws, regulations, contract provisions, and company policies;Effectuer des tâches liées au travail conformément aux lois, règlements, dispositions contractuelles et politiques de l'entreprise
PEC;PEC0005E;Understand that behaving ethically may go beyond what the law requires;Comprendre qu'un comportement éthique peut aller au-delà de ce que la loi exige
PEC;PEC0005F;Use company time and property responsibly;Utiliser le temps et les biens de l'entreprise de manière responsable
PEC;PEC0006;Acting fairly;Agir équitablement
PEC;PEC0006;Acting fairly;Agir équitablement
PEC;PEC0006A;Make decisions that are objective and reflect the just treatment of others;Prendre des décisions qui sont objectives et reflètent le juste traitement des autres
PEC;PEC0006B;Treat others with honesty, fairness, and respect;Traitez les autres avec honnêteté, équité et respect
PEC;PEC0007;Taking responsibility;Prendre ses responsabilités
PEC;PEC0007;Taking responsibility;Prendre la responsabilité
PEC;PEC0007A;Accept responsibility for one’s decisions and actions and for those of one’s group, team, or department;Accepter la responsabilité de ses décisions et de ses actions et de celles de son groupe, de son équipe ou de son service
PEC;PEC0007B;Take responsibility for accomplishing work goals within accepted timeframes;Assumer la responsabilité d'atteindre les objectifs de travail dans les délais acceptés
PEC;PEC0008;Demonstrating self-control;Démonstration de la maîtrise de soi
PEC;PEC0008;Demonstrating self-control;Faire preuve de maîtrise de soi
PEC;PEC0008A;Accept criticism tactfully and attempt to learn from it;Acceptez les critiques avec tact et essayez d'en tirer des leçons
PEC;PEC0008B;Deal calmly and effectively with stressful or difficult situations;Traiter calmement et efficacement les situations stressantes ou difficiles
PEC;PEC0008C;Maintain composure and keep emotions in check;Gardez votre sang-froid et maîtrisez vos émotions
PEC;PEC0009;Maintaining a professional appearancel;Maintenir une apparence professionnelle
PEC;PEC0009;Maintaining a professional appearance;Maintenir une apparence professionnelle
PEC;PEC0009A;Dress appropriately for occupational and worksite requirements;Habillez-vous convenablement pour les exigences professionnelles et du chantier
PEC;PEC0009B;Maintain a professional demeanor;Gardez une attitude professionnelle
PEC;PEC0009C;Maintain appropriate personal hygiene;Maintenir une hygiène personnelle appropriée
PEC;PEC0010;Social responsibility;Responsabilité sociale
PEC;PEC0010;Social responsibility;Responsabilité sociale
PEC;PEC0010A;Refrain from lifestyle choices which negatively impact the workplace and individual performance;S'abstenir de choix de style de vie qui ont un impact négatif sur le lieu de travail et la performance individuelle
PEC;PEC0010B;Remain free from substance abuse;Restez exempt de toxicomanie
PEC;PEC0011;Maintaining a positive attitude;Maintenir une attitude positive
PEC;PEC0011;Maintaining a positive attitude;Maintenir une attitude positive
PEC;PEC0011A;Demonstrate a positive attitude towards work;Démontrer une attitude positive envers le travail
PEC;PEC0011B;Project a professional image of oneself and the organization;Projeter une image professionnelle de soi et de l'organisation
PEC;PEC0011C;Take pride in one’s work and the work of the organization;Être fier de son travail et du travail de l’organisation
PEC;PEC0012;Achievement motivation;Motivation de réussite
PEC;PEC0012;Achievement motivation;Motivation de réussite
PEC;PEC0012A;Exhibit confidence in capabilities and an expectation to succeed in future activities;Faire preuve de confiance dans les capacités et espérer réussir dans les activités futures
PEC;PEC0012B;Strive to exceed standards and expectations;S'efforcer de dépasser les normes et les attentes
PEC;PEC0013;Persisting;Persistant
PEC;PEC0013;Persisting;Persistant
PEC;PEC0013A;Persist and expend extra effort to accomplish tasks even when conditions are difficult or deadlines are tight;Persister et déployer des efforts supplémentaires pour accomplir les tâches même lorsque les conditions sont difficiles ou les délais serrés
PEC;PEC0013B;Persist at a task or problem despite obstacles or setbacks;Persévérer dans une tâche ou un problème malgré les obstacles ou les revers
PEC;PEC0013C;Pursue work with drive and a strong accomplishment orientation;Poursuivre le travail avec dynamisme et une forte orientation vers l'accomplissement
PEC;PEC0014;Setting challenging goals;Fixer des objectifs ambitieux
PEC;PEC0014;Setting challenging goals;Fixer des objectifs ambitieux
PEC;PEC0014A;Bring issues to closure by pushing forward until a resolution is achieved;Mettre fin aux problèmes en poussant de l'avant jusqu'à ce qu'une résolution soit trouvée
PEC;PEC0014B;Establish and maintain personally challenging but realistic work goals;Établir et maintenir des objectifs de travail personnellement stimulants mais réalistes
PEC;PEC0014C;Exert effort toward task mastery;Faire des efforts pour maîtriser les tâches
PEC;PEC0015;Taking initiative;Prendre des initiatives
PEC;PEC0015;Taking initiative;Prendre l'initiative
PEC;PEC0015A;Assist others who have less experience or have heavy workloads;Aider les autres qui ont moins d'expérience ou qui ont de lourdes charges de travail
PEC;PEC0015B;Go beyond the routine demands of the job;Allez au-delà des exigences routinières du travail
PEC;PEC0015C;Provide suggestions for innovative approaches to improve processes or tasks;Fournir des suggestions d'approches innovantes pour améliorer les processus ou les tâches
PEC;PEC0015D;Seek opportunities to influence events and originate action;Rechercher des opportunités pour influencer les événements et lancer des actions
PEC;PEC0015E;Take initiative in seeking out new work challenges and increasing the variety and scope of one’s job;Prendre des initiatives en recherchant de nouveaux défis professionnels et en augmentant la variété et la portée de son travail
PEC;PEC0016;Working independently; Travailler indépendamment
PEC;PEC0016;Working independently;Travailler indépendamment
PEC;PEC0016A;Develop one’s own ways of working effectively and efficiently;Développer ses propres méthodes de travail de manière efficace et efficiente
PEC;PEC0016B;Perform effectively, even with minimal direction, support, or approval;Performer efficacement, même avec un minimum de direction, de soutien ou d'approbation
PEC;PEC0016C;Take responsibility for completing one’s own work assignments;Assumer la responsabilité de mener à bien ses propres tâches
PEC;PEC0017;Dealing with change;Gérer le changement
PEC;PEC0017;Dealing with change;Faire face au changement
PEC;PEC0017A;Easily adapt plans, goals, actions, or priorities in response to unpredictable or unexpected events, pressures, situations, and job demands;Adaptez facilement les plans, les objectifs, les actions ou les priorités en réponse à des événements, pressions, situations et exigences du travail imprévisibles ou inattendus
PEC;PEC0017B;Easily shift gears and change direction when working on multiple projects or issues;Changez facilement de vitesse et changez de direction lorsque vous travaillez sur plusieurs projets ou problèmes
PEC;PEC0017C;Take proper and effective action when necessary without having all the necessary facts in hand;Prendre des mesures appropriées et efficaces si nécessaire sans avoir tous les faits nécessaires en main
PEC;PEC0018;Entertaining new ideas;Nouvelles idées divertissantes
PEC;PEC0018;Entertaining new ideas;De nouvelles idées divertissantes
PEC;PEC0018A;Actively seek out and carefully consider the merits of new approaches to work;Rechercher activement et examiner attentivement les mérites de nouvelles approches de travail
PEC;PEC0018B;Embrace new approaches when appropriate and discard approaches that are no longer working;Adopter de nouvelles approches le cas échéant et rejeter les approches qui ne fonctionnent plus
PEC;PEC0018C;Remain open to considering new ways of doing things;Restez ouvert à envisager de nouvelles façons de faire les choses
PEC;PEC0018D;Dependability and Reliability;Fiabilité et fiabilité
PEC;PEC0019;Attendance and punctuality;Présence et ponctualité
PEC;PEC0019;Attendance and punctuality;Présence et ponctualité
PEC;PEC0019A;Arrive on time for meetings or appointments;Arrivez à l'heure pour les réunions ou rendez-vous
PEC;PEC0019B;Come to work on time and as scheduled;Venez travailler à l'heure et comme prévu
PEC;PEC0019C;Dial in to phone calls and web conferences on time;Composez à l'heure les appels téléphoniques et les conférences Web
PEC;PEC0020;Attending to details;Attention aux détails
PEC;PEC0020;Attending to details;S'occuper des détails
PEC;PEC0020A;Diligently check work to ensure that all essential details have been considered;Vérifiez le travail avec diligence pour vous assurer que tous les détails essentiels ont été pris en compte
PEC;PEC0020B;Notice errors or inconsistencies, and take prompt, thorough action to correct them;Notez les erreurs ou les incohérences et prenez des mesures rapides et minutieuses pour les corriger
PEC;PEC0021;Following direction;Suivre des instructions
PEC;PEC0021;Following directions;Suivre les directions
PEC;PEC0021A;Ask appropriate questions to clarify any instructional ambiguities;Poser les questions appropriées pour clarifier les ambiguïtés pédagogiques
PEC;PEC0021B;Comply with organizational rules, policies, and procedures;Se conformer aux règles, politiques et procédures organisationnelles
PEC;PEC0021C;Follow written and verbal directions;Suivez les instructions écrites et verbales
PEC;PEC0022;Fulfilling obligations;Respect des obligations
PEC;PEC0022;Fulfilling obligations;Respect des obligations
PEC;PEC0022A;Behave consistently and predictably;Se comporter de manière cohérente et prévisible
PEC;PEC0022B;Diligently follow through on commitments and consistently complete assignments by deadlines;Respecter les engagements avec diligence et terminer les missions de manière cohérente dans les délais
PEC;PEC0022C;Is reliable, responsible, and dependable in fulfilling obligations;Est fiable, responsable et fiable dans le respect de ses obligations
PEC;PEC0023;Anticipating changes in work;Anticiper les changements de travail
PEC;PEC0023;Anticipating changes in work;Anticiper les changements de travail
PEC;PEC0023A;Anticipate changes in work demands and search for and participate in assignments or training that address these changing demands;Anticiper les changements dans les demandes de travail et rechercher et participer à des affectations ou à des formations qui répondent à ces demandes changeantes
PEC;PEC0023B;Treat unexpected circumstances as opportunities to learn;Traitez les circonstances inattendues comme des occasions d'apprendre
PEC;PEC0024;Demonstrating an interest in learning;Démontrer un intérêt pour l'apprentissage
PEC;PEC0024;Demonstrating an interest in learning;Démontrer un intérêt pour l'apprentissage
PEC;PEC0024A;Demonstrate an interest in personal and professional lifelong learning and development;Démontrer un intérêt pour l'apprentissage et le développement personnel et professionnel tout au long de la vie
PEC;PEC0024B;Learn and accept help from supervisors and co-workers;Apprenez et acceptez l'aide des superviseurs et des collègues
PEC;PEC0024C;Modify behavior based on feedback or self-analysis of past mistakes;Modifier le comportement en fonction des commentaires ou de l'auto-analyse des erreurs passées
PEC;PEC0024D;Seek feedback from multiple sources about how to improve and develop;Sollicitez les commentaires de plusieurs sources sur la façon d'améliorer et de développer
PEC;PEC0025;Identifying career interests;Identifier les intérêts de carrière
PEC;PEC0025;Identifying career interests;Identifier les intérêts de carrière
PEC;PEC0025A;Make insightful career planning decisions based on integration and consideration of others’ feedback;Prendre des décisions éclairées en matière de planification de carrière en fonction de l'intégration et de la prise en compte des commentaires des autres
PEC;PEC0025B;Take charge of personal career development by identifying occupational interests, strengths, options, and opportunities;Prendre en charge le développement de carrière personnel en identifiant les intérêts professionnels, les forces, les options et les opportunités
PEC;PEC0027;Integrating and applying learning;Intégration et application de l'apprentissage
PEC;PEC0027;Integrating and applying learning;Intégrer et appliquer l'apprentissage
PEC;PEC0027A;Integrate newly-learned knowledge and skills with existing knowledge and skills;Intégrer les connaissances et compétences nouvellement acquises aux connaissances et compétences existantes
PEC;PEC0027B;Use newly-learned knowledge and skills to complete tasks, particularly in new or unfamiliar situations;Utiliser les connaissances et compétences nouvellement acquises pour accomplir des tâches, en particulier dans des situations nouvelles ou inconnues
PEC;PEC0028;Participating in training;Participer à la formation
PEC;PEC0028;Participating in training;Participer à la formation
PEC;PEC0028A;Actively pursue opportunities to broaden knowledge and skills through seminars, conferences, professional groups, reading publications, job shadowing, and/or continuing education;Rechercher activement les opportunités d'élargir les connaissances et les compétences par le biais de séminaires, de conférences, de groupes professionnels, de lecture de publications, d'observation au travail et / ou de formation continue
PEC;PEC0028B;Identify when it is necessary to acquire new knowledge and skills;Identifier quand il est nécessaire d'acquérir de nouvelles connaissances et compétences
PEC;PEC0028C;Take steps to develop and maintain knowledge, skills, and expertise necessary to perform one’s role successfully by participating in relevant training and professional development programs;Prendre des mesures pour développer et maintenir les connaissances, les compétences et l'expertise nécessaires pour remplir son rôle avec succès en participant à des programmes de formation et de développement professionnel pertinents
WPC;WPC0001;Acknowledging team membership and role;Reconnaître la composition et le rôle de l'équipe
WPC;WPC0001A;Accept membership in and commit to the goals of the team;Accepter l'adhésion et s'engager à atteindre les objectifs de l'équipe
WPC;WPC0001B;Encourage others to express their ideas and opinions;Encouragez les autres à exprimer leurs idées et opinions
WPC;WPC0001C;Guide others in learning new skills;Guider les autres dans l'acquisition de nouvelles compétences
WPC;WPC0001D;Identify and draw upon team members’ strengths and weaknesses to achieve results;Identifier et tirer parti des forces et des faiblesses des membres de l’équipe pour obtenir des résultats
WPC;WPC0001E;Learn from other team members;Apprenez des autres membres de l'équipe
WPC;WPC0001F;Serve as a leader or a follower, depending on what is needed to achieve the team’s goals and objectives;Servir de leader ou de suiveur, en fonction de ce qui est nécessaire pour atteindre les buts et objectifs de l'équipe
WPC;WPC0001G;Show loyalty to the team;Faire preuve de loyauté envers l'équipe
WPC;WPC0002;Establishing productive relationships;Établir des relations productives
WPC;WPC0002A;Deliver constructive criticism and voice objections to others’ ideas and opinions in a supportive, non-accusatory manner;Fournir des critiques constructives et exprimer des objections aux idées et opinions des autres de manière positive et non accusatoire
WPC;WPC0002B;Develop constructive and cooperative working relationships with others;Développer des relations de travail constructives et coopératives avec les autres
WPC;WPC0002C;Exhibit tact and diplomacy and strive to build consensus;Faites preuve de tact et de diplomatie et efforcez-vous de parvenir à un consensus
WPC;WPC0002D;Respond appropriately to positive and negative feedback;Répondre de manière appropriée aux commentaires positifs et négatifs
WPC;WPC0003;Identifying with the team and its goals;S'identifier avec l'équipe et ses objectifs
WPC;WPC0003A;Choose behaviors and actions that best support the team and accomplishment of work tasks;Choisir les comportements et les actions qui soutiennent le mieux l'équipe et l'accomplissement des tâches de travail
WPC;WPC0003B;Effectively communicate with all members of the group or team to achieve team goals and objectives;Communiquer efficacement avec tous les membres du groupe ou de l'équipe pour atteindre les buts et objectifs de l'équipe
WPC;WPC0003C;Identify the goals, norms, values, and customs of the team;Identifier les objectifs, les normes, les valeurs et les coutumes de l'équipe
WPC;WPC0003D;Use a group approach to identify problems and develop solutions based on group consensus;Utiliser une approche de groupe pour identifier les problèmes et développer des solutions basées sur le consensus du groupe
WPC;WPC0003E;Work as part of a team, contributing to the group’s effort to achieve goals;Travailler en équipe et contribuer aux efforts du groupe pour atteindre les objectifs
WPC;WPC0004;Resolving conflicts;Résoudre les conflits
WPC;WPC0004A;Bring others together to reconcile differences;Rassemblez les autres pour concilier les différences
WPC;WPC0004B;Handle conflicts maturely by exercising “give and take” to achieve positive results for all parties;Gérer les conflits avec maturité en faisant des concessions mutuelles pour obtenir des résultats positifs pour toutes les parties
WPC;WPC0004C;Reach formal or informal agreements that promote mutual goals and interests, and obtain commitment to those agreements from individuals or groups';Atteindre des accords formels ou informels qui favorisent des objectifs et des intérêts mutuels, et obtenir l'engagement à ces accords de la part d'individus ou de groupes.
;;;
