source ID;source name;source type;mapping type;target ID;target name;target type;mapping description
M1005;Application Vetting;mitigation;mitigates;T1429;Capture Audio;technique;Applications using the android permission `android.permission.RECORD_AUDIO` or iOS applications using `RequestRecordPermission` could be more closely scrutinized and monitored. If `android.permission.CAPTURE_AUDIO_OUTPUT` is found in a third-party application, it should be heavily scrutinized.
M1005;Application Vetting;mitigation;mitigates;T1512;Capture Camera;technique;During the vetting process applications using the android permission `android.permission.CAMERA`, or the iOS `NSCameraUsageDescription` plist entry could be analyzed more closely.
M1005;Application Vetting;mitigation;mitigates;T1414;Capture Clipboard Data;technique;Applications could be vetted for their use of the clipboard manager APIs with extra scrutiny given to application that make use of them.
M1005;Application Vetting;mitigation;mitigates;T1412;Capture SMS Messages;technique;Enterprises performing application vetting could search for applications that declare the RECEIVE_SMS permission and scrutinize them closely.
M1005;Application Vetting;mitigation;mitigates;T1448;Carrier Billing Fraud;technique;Application vetting services can check for applications that request SMS permissions, and can provide extra scrutiny to those that do.
M1005;Application Vetting;mitigation;mitigates;T1510;Clipboard Modification;technique;Applications could be vetted for their use of the clipboard manager APIs with extra scrutiny given to application that make use of them.
M1005;Application Vetting;mitigation;mitigates;T1540;Code Injection;technique;Static or dynamic code analysis to look for misuse of dynamic libraries. Increased focus on applications utilizing `DexClassLoader`. 
M1005;Application Vetting;mitigation;mitigates;T1605;Command-Line Interface;technique;Application vetting services could detect invocations of methods that could be used to execute shell commands.
M1005;Application Vetting;mitigation;mitigates;T1577;Compromise Application Executable;technique;Application vetting services could look for attempted usage of the Janus vulnerability.
M1005;Application Vetting;mitigation;mitigates;T1471;Data Encrypted for Impact;technique;A static analysis approach may be able to identify ransomware apps that encrypt user files on the device.(Citation: Maggi-Ransomware)
M1005;Application Vetting;mitigation;mitigates;T1447;Delete Device Data;technique;Application vetting services could be extra scrutinous of applications that request device administrator permissions.
M1005;Application Vetting;mitigation;mitigates;T1475;Deliver Malicious App via Authorized App Store;technique;App store operators and enterprises could assess reputational characteristics of the app, including the popularity of the app or other apps from the same developer and whether or not security issues have been found in other apps from the same developer.
M1005;Application Vetting;mitigation;mitigates;T1401;Device Administrator Permissions;technique;Application vetting can check for the string `BIND_DEVICE_ADMIN` in the application’s manifest.
M1005;Application Vetting;mitigation;mitigates;T1446;Device Lockout;technique;It is rare for applications to utilize Device Administrator access. App vetting can detect apps that do so, and those apps should be closely scrutinized. A static analysis approach can be used to identify ransomware apps including apps that abuse Device Administrator access.(Citation: Maggi-Ransomware)
M1005;Application Vetting;mitigation;mitigates;T1407;Download New Code at Runtime;technique;Application vetting techniques could (either statically or dynamically) look for indications that the application downloads and executes new code at runtime (e.g., on Android use of DexClassLoader, System.load, or the WebView JavaScriptInterface capability, or on iOS use of JSPatch or similar capabilities). Unfortunately, this is only a partial mitigation, as additional scrutiny would still need to be applied to applications that use these techniques, as the techniques are often used without malicious intent, and because applications may employ other techniques such as to hide their use of these techniques.
M1005;Application Vetting;mitigation;mitigates;T1523;Evade Analysis Environment;technique;Applications attempting to get `android.os.SystemProperties` or `getprop` with the runtime `exec()` commands should be closely scrutinized. Google does not recommend the use of system properties within applications.
M1005;Application Vetting;mitigation;mitigates;T1404;Exploit OS Vulnerability;technique;Application vetting may be able to identify the presence of exploit code within applications.
M1005;Application Vetting;mitigation;mitigates;T1405;Exploit TEE Vulnerability;technique;
M1005;Application Vetting;mitigation;mitigates;T1541;Foreground Persistence;technique;Applications could be vetted for their use of the `startForeground()` API, and could be further scrutinized if usage is found.
M1005;Application Vetting;mitigation;mitigates;T1472;Generate Fraudulent Advertising Revenue;technique;
M1005;Application Vetting;mitigation;mitigates;T1581;Geofencing;technique;Application vetting services can detect unnecessary and potentially abused location permissions or API calls.
M1005;Application Vetting;mitigation;mitigates;T1417;Input Capture;technique;Applications that attempt to register themselves as a device keyboard or request the `android.permission.BIND_ACCESSIBILITY_SERVICE` permission in a service declaration should be closely scrutinized during the vetting process.
M1005;Application Vetting;mitigation;mitigates;T1516;Input Injection;technique;Applications that register an accessibility service should be scrutinized further for malicious behavior.
M1005;Application Vetting;mitigation;mitigates;T1411;Input Prompt;technique;
M1005;Application Vetting;mitigation;mitigates;T1579;Keychain;technique;Application vetting services may be able to detect known privilege escalation exploits contained within applications.
M1005;Application Vetting;mitigation;mitigates;T1430;Location Tracking;technique;On Android, applications must request the ACCESS_COARSE_LOCATION or ACCESS_FINE_LOCATION permission to access the device's physical location. Extra scrutiny could be given to applications that request these permissions. On iOS, calls to the relevant APIs could be detected during the vetting process.
M1005;Application Vetting;mitigation;mitigates;T1463;Manipulate Device Communication;technique;Application vetting techniques can scan for use of cleartext communication, insecure TrustManager implementations, and other potential network communication weaknesses. The Google Play Store now automatically assesses submitted applications for insecure TrustManager implementations.(Citation: Google-TrustManager)
M1005;Application Vetting;mitigation;mitigates;T1575;Native Code;technique;Application vetting services could look for the `native` keyword in function definitions. However, this is widely used for legitimate purposes, so this may not be feasible. Application vetting services may also be able to detect behaviors carried out through the Native Development Kit (NDK) via dynamic analysis.
M1005;Application Vetting;mitigation;mitigates;T1410;Network Traffic Capture or Redirection;technique;Closely scrutinize applications that request VPN access before allowing their use.
M1005;Application Vetting;mitigation;mitigates;T1406;Obfuscated Files or Information;technique;Application vetting techniques may be able to alert to the presence of obfuscated or encrypted code in applications, and such applications could have extra scrutiny applied. Unfortunately, this mitigation is likely impractical, as many legitimate applications apply code obfuscation or encryption to resist adversary techniques such as Repackaged Application. Dynamic analysis when used in application vetting may in some cases be able to identify malicious code in obfuscated or encrypted form by detecting the code at execution time (after it is deobfuscated or decrypted). Some application vetting techniques apply reputation analysis of the application developer and can alert to potentially suspicious applications without actual examination of application code.
M1005;Application Vetting;mitigation;mitigates;T1424;Process Discovery;technique;Application vetting techniques could be used to attempt to identify applications with this behavior.
M1005;Application Vetting;mitigation;mitigates;T1544;Remote File Copy;technique;Applications with network connections to unknown domains or IP addresses could be further scrutinized to detect unauthorized file copying. Further, some application vetting services may indicate precisely what content was requested during application execution.
M1005;Application Vetting;mitigation;mitigates;T1582;SMS Control;technique;Application vetting services could provide further scrutiny to applications that request SMS-based permissions.
M1005;Application Vetting;mitigation;mitigates;T1513;Screen Capture;technique;Applications can be vetted for their use of the Android MediaProjectionManager class, with extra scrutiny applied to any application that uses the class.
M1005;Application Vetting;mitigation;mitigates;T1426;System Information Discovery;technique;App vetting procedures can search for apps that use the android.os.Build class, but these procedures could potentially be evaded and are likely not practical in this case, as many apps are likely to use this functionality as part of their legitimate behavior.
M1005;Application Vetting;mitigation;mitigates;T1422;System Network Configuration Discovery;technique;Application vetting could be used to analyze applications to determine whether they access this information, including determining whether the application requests the Android ACCESS_NETWORK_STATE permission (required in order to access NetworkInterface information) or the READ_PHONE_STATE permission (required in order to access TelephonyManager information).
M1005;Application Vetting;mitigation;mitigates;T1421;System Network Connections Discovery;technique;During application vetting, applications could be examined to see if they have this behavior, and extra scrutiny could potentially be given to applications that do.
M1005;Application Vetting;mitigation;mitigates;T1416;URI Hijacking;technique;When vetting applications for potential security weaknesses, the vetting process could look for insecure use of intents. Developers should be encouraged to use techniques to ensure that the intent can only be sent to an appropriate destination (e.g., use explicit rather than implicit intents, permission checking, checking of the destination app's signing certificate, or the App Links feature added in Android 6.0). For mobile applications using OAuth, encourage use of best practice.(Citation: IETF-OAuthNativeApps)(Citation: Android-AppLinks)
M1005;Application Vetting;mitigation;mitigates;T1509;Uncommonly Used Port;technique;Application vetting reports may show network communications performed by the application, including hosts, ports, protocols, and URLs.
M1005;Application Vetting;mitigation;mitigates;T1576;Uninstall Malicious Application;technique;Application vetting services could look for use of the accessibility service or features that typically require root access.
M1002;Attestation;mitigation;mitigates;T1605;Command-Line Interface;technique;Device attestation can often detect jailbroken or rooted devices.
M1002;Attestation;mitigation;mitigates;T1398;Modify OS Kernel or Boot Partition;technique;
M1002;Attestation;mitigation;mitigates;T1576;Uninstall Malicious Application;technique;Attestation can detect rooted devices.
M1007;Caution with Device Administrator Access;mitigation;mitigates;T1447;Delete Device Data;technique;There are very limited circumstances under which device administrator access should be granted.
M1007;Caution with Device Administrator Access;mitigation;mitigates;T1446;Device Lockout;technique;
M1010;Deploy Compromised Device Detection Method;mitigation;mitigates;T1605;Command-Line Interface;technique;Mobile security products can often detect jailbroken or rooted devices.
M1010;Deploy Compromised Device Detection Method;mitigation;mitigates;T1446;Device Lockout;technique;
M1010;Deploy Compromised Device Detection Method;mitigation;mitigates;T1579;Keychain;technique;Mobile security products can potentially detect jailbroken devices and take responsive action.
M1009;Encrypt Network Traffic;mitigation;mitigates;T1466;Downgrade to Insecure Protocols;technique;Application-layer encryption (e.g. use of the Transport Layer Security protocol) or a Virtual Private Network (VPN) tunnel (e.g. using the IPsec protocol) may help mitigate weaknesses in the cellular network encryption.
M1009;Encrypt Network Traffic;mitigation;mitigates;T1439;Eavesdrop on Insecure Network Communication;technique;
M1009;Encrypt Network Traffic;mitigation;mitigates;T1449;Exploit SS7 to Redirect Phone Calls/SMS;technique;"Use of end-to-end encryption of voice calls and text messages ""provides another layer in the defense against potential information compromise by SS7 enabled eavesdropping.""(Citation: CSRIC5-WG10-FinalReport)"
M1009;Encrypt Network Traffic;mitigation;mitigates;T1463;Manipulate Device Communication;technique;App developers should be advised to use the Android Network Security Configuration feature and the iOS App Transport Security feature to gain some level of assurance that app network traffic is protected.(Citation: Google-TrustManager)
M1009;Encrypt Network Traffic;mitigation;mitigates;T1410;Network Traffic Capture or Redirection;technique;This mitigation may not always be effective depending on the method used to encrypt network traffic. In some cases, an adversary may be able to capture traffic before it is encrypted.
M1009;Encrypt Network Traffic;mitigation;mitigates;T1467;Rogue Cellular Base Station;technique;
M1009;Encrypt Network Traffic;mitigation;mitigates;T1465;Rogue Wi-Fi Access Points;technique;Application-layer encryption (e.g. use of the Transport Layer Security protocol) or a Virtual Private Network (VPN) tunnel (e.g. using the IPsec protocol) may help mitigate use of untrusted Wi-Fi networks.
M1012;Enterprise Policy;mitigation;mitigates;T1517;Access Notifications;technique;On Android devices with a managed work profile (enterprise managed portion of the device), the `DevicePolicyManager.setPermittedCrossProfileNotificationListeners` method can be used to manage the list of applications (including setting it to an empty list) running within the primary user (personal side of the device) that can see notifications occurring within the managed profile. However, this policy only affects notifications generated within the managed profile, not by the rest of the device. The `DevicePolicyManager.setApplicationHidden` method can be used to disable unwanted applications that are accessing notifications, but using this method would block that entire application from running.(Citation: Android Notification Listeners)
M1012;Enterprise Policy;mitigation;mitigates;T1476;Deliver Malicious App via Other Means;technique;On iOS, the `allowEnterpriseAppTrust` and `allowEnterpriseAppTrustModification` configuration profile restrictions can be used to prevent users from installing apps signed using enterprise distribution keys.
M1012;Enterprise Policy;mitigation;mitigates;T1458;Exploit via Charging Station or PC;technique;Enterprise policies should prevent enabling USB debugging on Android devices unless specifically needed (e.g., if the device is used for application development).
M1012;Enterprise Policy;mitigation;mitigates;T1417;Input Capture;technique;When using Samsung Knox, third-party keyboards must be explicitly added to an allow list in order to be available to the end-user.(Citation: Samsung Keyboards)
M1012;Enterprise Policy;mitigation;mitigates;T1516;Input Injection;technique;An EMM/MDM can use the Android `DevicePolicyManager.setPermittedAccessibilityServices` method to set an explicit list of applications that are allowed to use Android's accessibility features.
M1012;Enterprise Policy;mitigation;mitigates;T1411;Input Prompt;technique;An EMM/MDM can use the Android `DevicePolicyManager.setPermittedAccessibilityServices` method to set an explicit list of applications that are allowed to use Android's accessibility features.
M1012;Enterprise Policy;mitigation;mitigates;T1461;Lockscreen Bypass;technique;"Enterprises can provision policies to mobile devices to require a minimum complexity (length, etc.) for the device passcode. Enterprises can provision policies to mobile devices to cause the device to wipe all data if an incorrect passcode is entered too many times. Both policies would mitigate brute-force, guessing, or shoulder surfing of the device passcode. If desired, enterprises can provision policies to mobile devices to disallow biometric authentication. However, biometric authentication can help make ""using a longer, more complex passcode far more practical because you don't need to enter it as frequently.""(Citation: Apple-iOSSecurityGuide)"
M1012;Enterprise Policy;mitigation;mitigates;T1465;Rogue Wi-Fi Access Points;technique;Enterprise policies could be provisioned to devices to control the Wi-Fi access points that they are allowed to connect to.
M1012;Enterprise Policy;mitigation;mitigates;T1513;Screen Capture;technique;Enterprise policies should block access to the Android Debug Bridge (ADB) by preventing users from enabling USB debugging on Android devices unless specifically needed (e.g., if the device is used for application development). An EMM/MDM can use the Android `DevicePolicyManager.setPermittedAccessibilityServices` method to set an explicit list of applications that are allowed to use Android's accessibility features.
M1014;Interconnection Filtering;mitigation;mitigates;T1449;Exploit SS7 to Redirect Phone Calls/SMS;technique;
M1014;Interconnection Filtering;mitigation;mitigates;T1450;Exploit SS7 to Track Device Location;technique;
M1003;Lock Bootloader;mitigation;mitigates;T1458;Exploit via Charging Station or PC;technique;
M1003;Lock Bootloader;mitigation;mitigates;T1398;Modify OS Kernel or Boot Partition;technique;
M1003;Lock Bootloader;mitigation;mitigates;T1400;Modify System Partition;technique;
M1001;Security Updates;mitigation;mitigates;T1433;Access Call Log;technique;Decrease likelihood of successful privilege escalation attack.
M1001;Security Updates;mitigation;mitigates;T1413;Access Sensitive Data in Device Logs;technique;
M1001;Security Updates;mitigation;mitigates;T1427;Attack PC via USB Connection;technique;
M1001;Security Updates;mitigation;mitigates;T1412;Capture SMS Messages;technique;
M1001;Security Updates;mitigation;mitigates;T1577;Compromise Application Executable;technique;Security updates frequently contain patches to vulnerabilities.
M1001;Security Updates;mitigation;mitigates;T1408;Disguise Root/Jailbreak Indicators;technique;
M1001;Security Updates;mitigation;mitigates;T1456;Drive-by Compromise;technique;
M1001;Security Updates;mitigation;mitigates;T1404;Exploit OS Vulnerability;technique;
M1001;Security Updates;mitigation;mitigates;T1405;Exploit TEE Vulnerability;technique;
M1001;Security Updates;mitigation;mitigates;T1458;Exploit via Charging Station or PC;technique;
M1001;Security Updates;mitigation;mitigates;T1477;Exploit via Radio Interfaces;technique;
M1001;Security Updates;mitigation;mitigates;T1579;Keychain;technique;Apple regularly provides security updates for known OS vulnerabilities.
M1001;Security Updates;mitigation;mitigates;T1461;Lockscreen Bypass;technique;
M1001;Security Updates;mitigation;mitigates;T1403;Modify Cached Executable Code;technique;
M1001;Security Updates;mitigation;mitigates;T1398;Modify OS Kernel or Boot Partition;technique;
M1001;Security Updates;mitigation;mitigates;T1400;Modify System Partition;technique;
M1001;Security Updates;mitigation;mitigates;T1399;Modify Trusted Execution Environment;technique;
M1001;Security Updates;mitigation;mitigates;T1410;Network Traffic Capture or Redirection;technique;
M1001;Security Updates;mitigation;mitigates;T1576;Uninstall Malicious Application;technique;Security updates typically provide patches for vulnerabilities that enable device rooting.
M1004;System Partition Integrity;mitigation;mitigates;T1400;Modify System Partition;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1433;Access Call Log;technique;Decrease likelihood of successful privilege escalation attack.
M1006;Use Recent OS Version;mitigation;mitigates;T1413;Access Sensitive Data in Device Logs;technique;Starting in Android 4.1, this technique requires privilege escalation for malicious applications to perform, as apps can no longer access the system log (other than log entries added by a particular app itself). (Additionally, with physical access to the device, the system log could be accessed via USB through the Android Debug Bridge.)(Citation: Android-ReadLogs)
M1006;Use Recent OS Version;mitigation;mitigates;T1409;Access Stored Application Data;technique;Most new versions of mobile operating systems include patches to newly discovered privilege escalation exploits used to root or jailbreak devices. Further, applications that target Android API level 28 or higher on Android 9.0 and above devices have a policy applied that prevents other applications from reading or writing data in their internal storage directories, regardless of file permissions.(Citation: Android-9.0-API-Changes)
M1006;Use Recent OS Version;mitigation;mitigates;T1427;Attack PC via USB Connection;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1402;Broadcast Receivers;technique;In Android 8, broadcast intent behavior was changed, limiting the implicit intents that applications can register for in the manifest.(Citation: Android Changes to System Broadcasts)
M1006;Use Recent OS Version;mitigation;mitigates;T1429;Capture Audio;technique;Android 9 and above restricts access to microphone, camera, and other sensors from background applications.(Citation: Android Capture Sensor 2019)
M1006;Use Recent OS Version;mitigation;mitigates;T1512;Capture Camera;technique;Android 9 and above restricts access to mic, camera, and other sensors from background applications.(Citation: Android Capture Sensor 2019) 
M1006;Use Recent OS Version;mitigation;mitigates;T1414;Capture Clipboard Data;technique;Android 10 prevents applications from accessing clipboard data unless the application is on the foreground or is set as the device’s default input method editor (IME).(Citation: Android 10 Privacy Changes)
M1006;Use Recent OS Version;mitigation;mitigates;T1412;Capture SMS Messages;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1448;Carrier Billing Fraud;technique;Starting with Android 4.2 the user must provide consent before applications can send SMS messages to premium numbers.(Citation: AndroidSecurity2014)
M1006;Use Recent OS Version;mitigation;mitigates;T1510;Clipboard Modification;technique;Android 10 prevents applications from accessing clipboard data unless the application is on the foreground or is set as the device’s default input method editor (IME).(Citation: Android 10 Privacy Changes)
M1006;Use Recent OS Version;mitigation;mitigates;T1577;Compromise Application Executable;technique;Many vulnerabilities related to injecting code into existing applications have been patched in previous Android releases.
M1006;Use Recent OS Version;mitigation;mitigates;T1401;Device Administrator Permissions;technique;Changes were introduced in Android 7 to make abuse of device administrator permissions more difficult.(Citation: GoogleIO2016)
M1006;Use Recent OS Version;mitigation;mitigates;T1446;Device Lockout;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1407;Download New Code at Runtime;technique;On Android 10 and above devices, applications that target Android API level 29 or higher cannot execute native code stored in the application's internal data storage directory, limiting the ability of applications to download and execute native code at runtime.(Citation: Android 10 Execute)
M1006;Use Recent OS Version;mitigation;mitigates;T1456;Drive-by Compromise;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1404;Exploit OS Vulnerability;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1405;Exploit TEE Vulnerability;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1458;Exploit via Charging Station or PC;technique;Newer OS versions generally will include security patches against discovered vulnerabilities that become known to the vendor. Additionally, iOS 11.4.1 and higher introduce USB Restricted Mode, which under certain conditions disables data access through the device's charging port (making the port only usable for power), likely preventing this technique from working.(Citation: Elcomsoft-iOSRestricted)
M1006;Use Recent OS Version;mitigation;mitigates;T1477;Exploit via Radio Interfaces;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1420;File and Directory Discovery;technique;Increase difficulty of escalating privileges, as security architecture improvements in each new version of Android and iOS make it more difficult to escalate privileges. Additionally, newer versions of Android have strengthened the sandboxing applied to applications, restricting their ability to enumerate file system contents.
M1006;Use Recent OS Version;mitigation;mitigates;T1581;Geofencing;technique;New OS releases frequently contain additional limitations or controls around device location access.
M1006;Use Recent OS Version;mitigation;mitigates;T1411;Input Prompt;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1478;Install Insecure or Malicious Configuration;technique;iOS 10.3 and higher add an additional step for users to install new trusted CA certificates to make it more difficult to trick users into installing them. On Android, apps that target compatibility with Android 7 and higher (API Level 24) default to only trusting CA certificates that are bundled with the operating system, not CA certificates that are added by the user or administrator, hence decreasing their susceptibility to successful man-in-the-middle attack.(Citation: Symantec-iOSProfile2)(Citation: Android-TrustedCA)
M1006;Use Recent OS Version;mitigation;mitigates;T1579;Keychain;technique;Newer OS releases typically patch known root exploits disclosed in previous versions.
M1006;Use Recent OS Version;mitigation;mitigates;T1461;Lockscreen Bypass;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1403;Modify Cached Executable Code;technique;For applications running on Android 10 and higher devices, application developers can indicate that DEX code should always be executed directly from the application package.(Citation: Android 10 DEX)
M1006;Use Recent OS Version;mitigation;mitigates;T1410;Network Traffic Capture or Redirection;technique;
M1006;Use Recent OS Version;mitigation;mitigates;T1424;Process Discovery;technique;As stated in the technical description, Android 7 and above prevent applications from accessing this information.
M1006;Use Recent OS Version;mitigation;mitigates;T1422;System Network Configuration Discovery;technique;Starting in Android 6.0, applications can no longer access MAC addresses of network interfaces.(Citation: Android60Changes)
M1006;Use Recent OS Version;mitigation;mitigates;T1416;URI Hijacking;technique;iOS 11 introduced a first-come-first-served principle for URIs, allowing only the prior installed app to be launched via the URI.(Citation: Trend Micro iOS URL Hijacking)
M1011;User Guidance;mitigation;mitigates;T1427;Attack PC via USB Connection;technique;Advise users to only connect mobile devices to PCs when a justified need exists (e.g., mobile app development and debugging).
M1011;User Guidance;mitigation;mitigates;T1447;Delete Device Data;technique;Users should be trained on what device administrator permission request prompts look like, and how to avoid granting permissions on phishing popups.
M1011;User Guidance;mitigation;mitigates;T1475;Deliver Malicious App via Authorized App Store;technique;Encourage developers to protect their account credentials and enable multi-factor authentication if available. Encourage developers to protect their signing keys.
M1011;User Guidance;mitigation;mitigates;T1476;Deliver Malicious App via Other Means;technique;"iOS 9 and above requires explicit user consent before allowing installation of applications signed with enterprise distribution keys rather than installed from Apple's App Store. Users should be encouraged to not agree to installation of applications signed with enterprise distribution keys unless absolutely certain of the source of the application. On Android, the ""Unknown Sources"" setting must be enabled for users to install apps from sources other than an authorized app store (such as the Google Play Store), so users should be encouraged not to enable that setting."
M1011;User Guidance;mitigation;mitigates;T1401;Device Administrator Permissions;technique;Users should be told that it is very rare for an app to request device administrator permissions, and that any requests for the permissions should be scrutinized. 
M1011;User Guidance;mitigation;mitigates;T1458;Exploit via Charging Station or PC;technique;Users should be advised not to use public charging stations or computers to charge their devices. Instead, users should be issued a charger acquired from a trustworthy source. Users should be advised not to click on device prompts to trust attached computers unless absolutely necessary.
M1011;User Guidance;mitigation;mitigates;T1541;Foreground Persistence;technique;If a user sees a persistent notification they do not recognize, they should uninstall the source application and look for other unwanted applications or anomalies.
M1011;User Guidance;mitigation;mitigates;T1581;Geofencing;technique;Users should be advised to be extra scrutinous of applications that request location permissions, and to deny any permissions requests for applications they do not recognize.
M1011;User Guidance;mitigation;mitigates;T1417;Input Capture;technique;Users should be weary of granting applications dangerous or privacy-intrusive permissions, such as keyboard registration and accessibility permissions requests.
M1011;User Guidance;mitigation;mitigates;T1516;Input Injection;technique;Users should be warned against granting access to accessibility features, and to carefully scrutinize applications that request this dangerous permission.
M1011;User Guidance;mitigation;mitigates;T1478;Install Insecure or Malicious Configuration;technique;Typically, insecure or malicious configuration settings are not installed without the user's consent. Users should be advised not to install unexpected configuration settings (CA certificates, iOS Configuration Profiles, Mobile Device Management server provisioning).
M1011;User Guidance;mitigation;mitigates;T1444;Masquerade as Legitimate Application;technique;Users should be encouraged to only install apps from authorized app stores, which are less likely to contain malicious repackaged apps.
M1011;User Guidance;mitigation;mitigates;T1470;Obtain Device Cloud Backups;technique;Encourage users to protect their account credentials and to enable available multi-factor authentication options.
M1011;User Guidance;mitigation;mitigates;T1468;Remotely Track Device Without Authorization;technique;Encourage users to protect their account credentials and to enable available multi-factor authentication options.
M1011;User Guidance;mitigation;mitigates;T1469;Remotely Wipe Data Without Authorization;technique;Encourage users to protect their account credentials and to enable available multi-factor authentication options.
M1011;User Guidance;mitigation;mitigates;T1582;SMS Control;technique;Users should be encouraged to be very careful with what applications they grant SMS access to. Further, users should not change their default SMS handler to applications they do not recognize.(Citation: SMS KitKat)
M1011;User Guidance;mitigation;mitigates;T1513;Screen Capture;technique;Users should be advised not to grant consent for screen captures to occur unless expected. Users should avoid enabling USB debugging (Android Debug Bridge) unless explicitly required.
M1011;User Guidance;mitigation;mitigates;T1576;Uninstall Malicious Application;technique;Inform users that device rooting or granting unnecessary access to the accessibility service presents security risks that could be taken advantage of without their knowledge.
G0007;APT28;group;uses;S0314;X-Agent for Android;software;(Citation: CrowdStrike-Android)
G0097;Bouncing Golf;group;uses;S0421;GolfSpy;software;(Citation: Trend Micro Bouncing Golf 2019)
G0070;Dark Caracal;group;uses;S0182;FinFisher;software;(Citation: Lookout Dark Caracal Jan 2018)
G0070;Dark Caracal;group;uses;S0399;Pallas;software;(Citation: Lookout Dark Caracal Jan 2018)
G0034;Sandworm Team;group;uses;S0555;CHEMISTGAMES;software;(Citation: CYBERWARCON CHEMISTGAMES)
G0097;Bouncing Golf;group;uses;T1476;Deliver Malicious App via Other Means;technique;[Bouncing Golf](https://attack.mitre.org/groups/G0097) delivered GolfSpy via a hosted application binary advertised on social media.(Citation: Trend Micro Bouncing Golf 2019) 
G0097;Bouncing Golf;group;uses;T1444;Masquerade as Legitimate Application;technique;[Bouncing Golf](https://attack.mitre.org/groups/G0097) distributed malware as repackaged legitimate applications, with the malicious code in the `com.golf` package.(Citation: Trend Micro Bouncing Golf 2019)
G0070;Dark Caracal;group;uses;T1476;Deliver Malicious App via Other Means;technique;[Dark Caracal](https://attack.mitre.org/groups/G0070) distributes [Pallas](https://attack.mitre.org/software/S0399) via trojanized applications hosted on watering hole websites.(Citation: Lookout Dark Caracal Jan 2018) 
G0070;Dark Caracal;group;uses;T1437;Standard Application Layer Protocol;technique;[Dark Caracal](https://attack.mitre.org/groups/G0070) controls implants using standard HTTP communication.(Citation: Lookout Dark Caracal Jan 2018) 
G0112;Windshift;group;uses;T1432;Access Contact List;technique;[Windshift](https://attack.mitre.org/groups/G0112) has included contact list exfiltration in the malicious apps deployed as part of Operation BULL.(Citation: Blackberry Bahamut)
G0112;Windshift;group;uses;T1429;Capture Audio;technique;[Windshift](https://attack.mitre.org/groups/G0112) has included phone call and audio recording capabilities in the malicious apps deployed as part of Operation BULL and Operation ROCK.(Citation: Blackberry Bahamut)
G0112;Windshift;group;uses;T1512;Capture Camera;technique;[Windshift](https://attack.mitre.org/groups/G0112) has included video recording in the malicious apps deployed as part of Operation BULL.(Citation: Blackberry Bahamut)
