source name;source type;mapping type;target name;target type;mapping description;source ID;target ID
Authorization Enforcement;mitigation;mitigates;Data Historian Compromise;technique;All remotely accessible services should implement access control mechanisms to restrict the information or services accessible to users.;;
Authorization Enforcement;mitigation;mitigates;Detect Operating Mode;technique;All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.;;
Authorization Enforcement;mitigation;mitigates;Device Restart/Shutdown;technique;All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.;;
Authorization Enforcement;mitigation;mitigates;Engineering Workstation Compromise;technique;All remotely accessible services should implement access control mechanisms to restrict the information or services accessible to users.;;
Authorization Enforcement;mitigation;mitigates;Execution through API;technique;All APIs used to perform execution, especially those hosted on embedded controllers (e.g., PLCs), should provide adequate authorization enforcement of user access. Minimize user's access to only required API calls.;;
Authorization Enforcement;mitigation;mitigates;Modify Alarm Settings;technique;Only authorized personnel should be able to change settings for alarms.;;
Authorization Enforcement;mitigation;mitigates;Modify Parameter;technique;All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.;;
Authorization Enforcement;mitigation;mitigates;Point & Tag Identification;technique;"Automation protocols (e.g., OPC, DNP3) can restrict access to certain 'points'/requests based on a user's or device's privilege, this can prevent an unauthorized user from identifying certain point or tag identifiers. For example, DNP3-SA requires challenge-response authentication for certain DNP3 requests, similar techniques could be extended more broadly to other points or tags.

Systems and devices should restrict access to any data with potential confidentiality concerns, including point and tag information.";;
Authorization Enforcement;mitigation;mitigates;Program Download;technique;All field controllers should restrict the modification of programs to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.;;
Authorization Enforcement;mitigation;mitigates;Program Upload;technique;All field controllers should restrict program uploads to only certain users (e.g., engineers, field technician), preferably through implementing a role-based access mechanism.;;
Authorization Enforcement;mitigation;mitigates;Remote Services;technique;Provide privileges corresponding to the restriction of a GUI session to control system operations (examples include HMI read-only vs. read-write modes). Ensure local users, such as operators and engineers, are giving prioritization over remote sessions and have the authority to regain control over a remote session if needed. Prevent remote access sessions (e.g., RDP, VNC) from taking over local sessions, especially those used for ICS control, especially HMIs.;;
Boot Integrity;mitigation;mitigates;Module Firmware;technique;Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Use Trusted Platform Module technology. Move system's root of trust to hardware to prevent tampering with the SPI flash memory. Technologies such as Intel Boot Guard can assist with this.;;
Boot Integrity;mitigation;mitigates;System Firmware;technique;Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Use Trusted Platform Module technology. Move system's root of trust to hardware to prevent tampering with the SPI flash memory. Technologies such as Intel Boot Guard can assist with this.;;
Code Signing;mitigation;mitigates;Block Reporting Message;technique;Devices should verify that firmware has been properly signed by the vendor before allowing installation.;;
Code Signing;mitigation;mitigates;Masquerading;technique;Require signed binaries.;;
Code Signing;mitigation;mitigates;Modify Controller Tasking;technique;Utilize code signatures to verify the integrity of the installed program on safety or control assets has not been changed.;;
Code Signing;mitigation;mitigates;Modify Program;technique;Utilize code signatures to verify the integrity of the installed program on safety or control assets has not been changed.;;
Code Signing;mitigation;mitigates;Module Firmware;technique;Devices should verify that firmware has been properly signed by the vendor before allowing installation.;;
Code Signing;mitigation;mitigates;Program Download;technique;Utilize code signatures to verify the integrity of the installed program on safety or control assets has not been changed.;;
Code Signing;mitigation;mitigates;Project File Infection;technique;Allow for code signing of any project files stored at rest to prevent unauthorized tampering. Ensure the signing keys are not easily accessible on the same system.;;
Code Signing;mitigation;mitigates;Rootkit;technique;Digital signatures may be used to ensure application DLLs are authentic prior to execution.;;
Code Signing;mitigation;mitigates;Supply Chain Compromise;technique;When available utilize hardware and software root-of-trust to verify the authenticity of a system. This may be achieved through cryptographic means, such as digital signatures or hashes, of critical software and firmware throughout the supply chain.;;
Code Signing;mitigation;mitigates;System Firmware;technique;Devices should verify that firmware has been properly signed by the vendor before allowing installation.;;
Code Signing;mitigation;mitigates;User Execution;technique;Prevent the use of unsigned executables, such as installers and scripts.;;
Communication Authenticity;mitigation;mitigates;Activate Firmware Update Mode;technique;Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.;;
Communication Authenticity;mitigation;mitigates;Change Operating Mode;technique;Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.;;
Communication Authenticity;mitigation;mitigates;Detect Operating Mode;technique;Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e.g., legacy controllers, RTUs).;;
Communication Authenticity;mitigation;mitigates;Device Restart/Shutdown;technique;Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e.g., legacy controllers, RTUs).;;
Communication Authenticity;mitigation;mitigates;Man in the Middle;technique;Communication authenticity will ensure that any messages tampered with through MITM can be detected, but cannot prevent eavesdropping on these. In addition, providing communication authenticity around various discovery protocols, such as DNS, can be used to prevent various MITM procedures.;;
Communication Authenticity;mitigation;mitigates;Manipulation of Control;technique;Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e.g., legacy controllers, RTUs).;;
Communication Authenticity;mitigation;mitigates;Manipulation of View;technique;Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e.g., legacy controllers, RTUs).;;
Communication Authenticity;mitigation;mitigates;Module Firmware;technique;Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.;;
Communication Authenticity;mitigation;mitigates;Point & Tag Identification;technique;Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e.g., legacy controllers, RTUs).;;
Communication Authenticity;mitigation;mitigates;Program Download;technique;Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.;;
Communication Authenticity;mitigation;mitigates;Program Upload;technique;Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.;;
Communication Authenticity;mitigation;mitigates;Rogue Master;technique;Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e.g., legacy controllers, RTUs).;;
Communication Authenticity;mitigation;mitigates;Spoof Reporting Message;technique;Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e.g., legacy controllers, RTUs).;;
Communication Authenticity;mitigation;mitigates;System Firmware;technique;Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.;;
Communication Authenticity;mitigation;mitigates;Unauthorized Command Message;technique;Protocols used for control functions should provide authenticity through MAC functions or digital signatures. If not, utilize bump-in-the-wire devices or VPNs to enforce communication authenticity between devices that are not capable of supporting this (e.g., legacy controllers, RTUs).;;
Communication Authenticity;mitigation;mitigates;Wireless Compromise;technique;Do not inherently rely on the authenticity provided by the network/link layer (e.g., 802.11, LTE, 802.15.4), as link layer equipment may have long lifespans and protocol vulnerabilities may not be easily patched. Provide defense-in-depth by implementing authenticity within the associated application-layer protocol, or through a network-layer VPN. Furthermore, ensure communications schemes provide strong replay protection, employing techniques such as timestamps or cryptographic nonces.;;
Data Backup;mitigation;mitigates;Data Destruction;technique;Utilize central storage servers for critical operations where possible (e.g., historians) and keep remote backups. For outstations, use local redundant storage for event recorders. Have backup control system platforms, preferably as hot-standbys to respond immediately to data destruction event.;M0953;
Data Backup;mitigation;mitigates;Denial of Control;technique;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response to adversarial activities that impact control, view, or availability.;M0953;
Data Backup;mitigation;mitigates;Denial of View;technique;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response to adversarial activities that impact control, view, or availability.;M0953;
Data Backup;mitigation;mitigates;Loss of Availability;technique;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response to adversarial activities that impact control, view, or availability.;M0953;
Data Backup;mitigation;mitigates;Loss of Control;technique;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response to adversarial activities that impact control, view, or availability.;M0953;
Data Backup;mitigation;mitigates;Loss of Productivity and Revenue;technique;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response to adversarial activities that impact control, view, or availability.;M0953;
Data Backup;mitigation;mitigates;Loss of View;technique;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response to adversarial activities that impact control, view, or availability.;M0953;
Data Backup;mitigation;mitigates;Manipulation of Control;technique;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response to adversarial activities that impact control, view, or availability.;M0953;
Data Backup;mitigation;mitigates;Manipulation of View;technique;Take and store data backups from end user systems and critical servers. Ensure backup and storage systems are hardened and kept separate from the corporate network to prevent compromise. Maintain and exercise incident response plans, including the management of 'gold-copy' back-up images and configurations for key systems to enable quick recovery and response to adversarial activities that impact control, view, or availability.;M0953;
Data Loss Prevention;mitigation;mitigates;Theft of Operational Information;technique;Apply DLP to protect the confidentiality of information related to operational processes, facility locations, device configurations, programs, or databases that may have information that can be used to infer organizational trade-secrets, recipes, and other intellectual property (IP).;;
Disable or Remove Feature or Program;mitigation;mitigates;Command-Line Interface;technique;Consider removing or restricting features that are unnecessary to an asset's intended function within the control environment.;;
Disable or Remove Feature or Program;mitigation;mitigates;Commonly Used Port;technique;Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.;;
Disable or Remove Feature or Program;mitigation;mitigates;Data Historian Compromise;technique;Consider the disabling or removal of features or programs which are not required by that asset's function within the environment.;;
Disable or Remove Feature or Program;mitigation;mitigates;Device Restart/Shutdown;technique;Ensure remote commands that enable device shutdown are disabled if they are not necessary. Examples including DNP3's 0x0D function code or unnecessary device management functions.;;
Disable or Remove Feature or Program;mitigation;mitigates;Exploitation of Remote Services;technique;Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.;;
Disable or Remove Feature or Program;mitigation;mitigates;External Remote Services;technique;Consider removal of remote services which are not regularly in use, or only enabling them when required (e.g. vendor remote access). Ensure all external remote access point (e.g., jump boxes, VPN concentrator) are configured with least functionality, especially the removal of unnecessary services.;;
Disable or Remove Feature or Program;mitigation;mitigates;Man in the Middle;technique;Disable unnecessary legacy network protocols that may be used for MiTM if applicable.;;
Disable or Remove Feature or Program;mitigation;mitigates;Remote System Information Discovery;technique;Ensure that unnecessary ports and services are closed to prevent risk of discovery and potential exploitation.;;
Disable or Remove Feature or Program;mitigation;mitigates;Replication Through Removable Media;technique;Consider the disabling of features such as AutoRun.;;
Disable or Remove Feature or Program;mitigation;mitigates;Scripting;technique;Consider removal or disabling of programs and features which may be used to run malicious scripts (e.g., scripting language IDEs, PowerShell, visual studio).;;
Encrypt Network Traffic;mitigation;mitigates;Module Firmware;technique;The encryption of firmware should be considered to prevent adversaries from identifying possible vulnerabilities within the firmware.;;
Encrypt Network Traffic;mitigation;mitigates;Network Sniffing;technique;Ensure that wired and/or wireless traffic is encrypted when feasible. Use best practices for authentication protocols, such as Kerberos, and ensure web traffic that may contain credentials is protected by SSL/TLS.;;
Encrypt Network Traffic;mitigation;mitigates;System Firmware;technique;The encryption of firmware should be considered to prevent adversaries from identifying possible vulnerabilities within the firmware.;;
Encrypt Network Traffic;mitigation;mitigates;Wireless Compromise;technique;Utilize strong cryptographic techniques and protocols to prevent eavesdropping on network communications.;;
Encrypt Network Traffic;mitigation;mitigates;Wireless Sniffing;technique;Utilize strong cryptographic techniques and protocols to prevent eavesdropping on network communications.;;
Encrypt Sensitive Information;mitigation;mitigates;Data from Information Repositories;technique;Information which is sensitive to the operation and architecture of the process environment may be encrypted to ensure confidentiality and restrict access to only those who need to know.;;
Encrypt Sensitive Information;mitigation;mitigates;Engineering Workstation Compromise;technique;Consider implementing full disk encryption, especially if engineering workstations are transient assets that are more likely to be lost, stolen, or tampered with.;;
Encrypt Sensitive Information;mitigation;mitigates;Module Firmware;technique;The encryption of firmware should be considered to prevent adversaries from identifying possible vulnerabilities within the firmware.;;
Encrypt Sensitive Information;mitigation;mitigates;Project File Infection;technique;When at rest, project files should be encrypted to prevent unauthorized changes.;;
Encrypt Sensitive Information;mitigation;mitigates;System Firmware;technique;The encryption of firmware should be considered to prevent adversaries from identifying possible vulnerabilities within the firmware.;;
Encrypt Sensitive Information;mitigation;mitigates;Theft of Operational Information;technique;Encrypt any operational data with strong confidentiality requirements, including organizational trade-secrets, recipes, and other intellectual property (IP).;;
Execution Prevention;mitigation;mitigates;Command-Line Interface;technique;Execution prevention may block malicious software from accessing protected resources through the command line interface.;;
Execution Prevention;mitigation;mitigates;Execution through API;technique;Minimize the exposure of API calls that allow the execution of code.;;
Execution Prevention;mitigation;mitigates;Masquerading;technique;Use tools that restrict program execution via application control by attributes other than file name for common system and application utilities.;;
Execution Prevention;mitigation;mitigates;Native API;technique;Minimize the exposure of API calls that allow the execution of code.;;
Execution Prevention;mitigation;mitigates;Scripting;technique;Execution prevention may prevent malicious scripts from accessing protected resources.;;
Execution Prevention;mitigation;mitigates;User Execution;technique;Application control may be able to prevent the running of executables masquerading as other files.;;
Exploit Protection;mitigation;mitigates;Drive-by Compromise;technique;Utilize exploit protection to prevent activities which may be exploited through malicious web sites.;;
Exploit Protection;mitigation;mitigates;Exploit Public-Facing Application;technique;Web Application Firewalls may be used to limit exposure of applications to prevent exploit traffic from reaching the application.;;
Exploit Protection;mitigation;mitigates;Exploitation for Evasion;technique;Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. Many of these protections depend on the architecture and target application binary for compatibility and may not work for all software or services targeted.;;
Exploit Protection;mitigation;mitigates;Exploitation for Privilege Escalation;technique;Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. Many of these protections depend on the architecture and target application binary for compatibility and may not work for all software or services targeted.;;
Exploit Protection;mitigation;mitigates;Exploitation of Remote Services;technique;Security applications that look for behavior used during exploitation such as Windows Defender Exploit Guard (WDEG) and the Enhanced Mitigation Experience Toolkit (EMET) can be used to mitigate some exploitation behavior. Control flow integrity checking is another way to potentially identify and stop a software exploit from occurring. Many of these protections depend on the architecture and target application binary for compatibility and may not work for all software or services targeted.;;
Filter Network Traffic;mitigation;mitigates;Activate Firmware Update Mode;technique;Filter for protocols and payloads associated with firmware activation or updating activity.;;
Filter Network Traffic;mitigation;mitigates;Brute Force I/O;technique;Allow/denylists can be used to block access when excessive I/O connections are detected from a system or device during a specified time period.;;
Filter Network Traffic;mitigation;mitigates;Connection Proxy;technique;Traffic to known anonymity networks and C2 infrastructure can be blocked through the use of network allow and block lists. It should be noted that this kind of blocking may be circumvented by other techniques like Domain Fronting.;;
Filter Network Traffic;mitigation;mitigates;Data Historian Compromise;technique;Filter network traffic to data historians to ensure only authorized data flows are allowed, especially across network boundaries.;;
Filter Network Traffic;mitigation;mitigates;Detect Operating Mode;technique;Perform inline allowlisting of automation protocol commands to prevent devices from sending unauthorized command or reporting messages. Allow/denylist techniques need to be designed with sufficient accuracy to prevent the unintended blocking of valid messages.;;
Filter Network Traffic;mitigation;mitigates;Device Restart/Shutdown;technique;Application denylists can be used to block automation protocol functions used to initiate device shutdowns or restarts, such as DNP3's 0x0D function code, or vulnerabilities that can be used to trigger device shutdowns (e.g., CVE-2014-9195, CVE-2015-5374).;;
Filter Network Traffic;mitigation;mitigates;Engineering Workstation Compromise;technique;Ensure all communication is filtered for potentially malicious content, especially for mobile workstations that may not be protected by boundary firewalls.;;
Filter Network Traffic;mitigation;mitigates;Man in the Middle;technique;Use network appliances and host-based security software to block network traffic that is not necessary within the environment, such as legacy protocols that may be leveraged for MiTM.;;
Filter Network Traffic;mitigation;mitigates;Module Firmware;technique;Filter for protocols and payloads associated with firmware activation or updating activity.;;
Filter Network Traffic;mitigation;mitigates;Point & Tag Identification;technique;Perform inline allowlisting of automation protocol commands to prevent devices from sending unauthorized command or reporting messages. Allow/denylist techniques need to be designed with sufficient accuracy to prevent the unintended blocking of valid messages.;;
Filter Network Traffic;mitigation;mitigates;Program Download;technique;Filter for protocols and payloads associated with program download activity to prevent unauthorized device configurations.;;
Filter Network Traffic;mitigation;mitigates;Program Upload;technique;Filter for protocols and payloads associated with program upload activity to prevent unauthorized access to device configurations.;;
Filter Network Traffic;mitigation;mitigates;Remote Services;technique;Filter application-layer protocol messages for remote services to block any unauthorized activity.;;
Filter Network Traffic;mitigation;mitigates;Rogue Master;technique;Perform inline allowlisting of automation protocol commands to prevent devices from sending unauthorized command or reporting messages. Allow/denylist techniques need to be designed with sufficient accuracy to prevent the unintended blocking of valid reporting messages.;;
Filter Network Traffic;mitigation;mitigates;Spoof Reporting Message;technique;Perform inline allowlisting of automation protocol commands to prevent devices from sending unauthorized command or reporting messages. Allow/denylist techniques need to be designed with sufficient accuracy to prevent the unintended blocking of valid reporting messages.;;
Filter Network Traffic;mitigation;mitigates;System Firmware;technique;Filter for protocols and payloads associated with firmware activation or updating activity.;;
