reference;citation;url
ArsTechnica-PoisonTap;Dan Goodin. (2016, November 16). Meet PoisonTap, the $5 tool that ransacks password-protected computers. Retrieved December 22, 2016.;http://arstechnica.com/security/2016/11/meet-poisontap-the-5-tool-that-ransacks-password-protected-computers/
Arstechnica-Celljam;David Kravets. (2016, March 10). Man accused of jamming passengers’ cell phones on Chicago subway. Retrieved November 8, 2018.;https://arstechnica.com/tech-policy/2016/03/man-accused-of-jamming-passengers-cell-phones-on-chicago-subway/
BankInfoSecurity-BackDoor;Jeremy Kirk. (2016, November 16). Why Did Chinese Spyware Linger in U.S. Phones?. Retrieved February 6, 2017.;http://www.bankinfosecurity.com/did-chinese-spyware-linger-in-us-phones-a-9534
Betanews-Simswap;Alex Cambell. (2016, February 12). Everything you need to know about SIM swap scams. Retrieved December 12, 2016.;http://betanews.com/2016/02/12/everything-you-need-to-know-about-sim-swap-scams/
Bitdefender - Triout 2018;L. Arsene, C. Ochinca. (2018, August 20). Triout – Spyware Framework for Android with Extensive Surveillance Capabilities. Retrieved January 21, 2020.;https://labs.bitdefender.com/2018/08/triout-spyware-framework-for-android-with-extensive-surveillance-capabilities/
Bitdefender Mandrake;R. Gevers, M. Tivadar, R. Bleotu, A. M. Barbatei, et al.. (2020, May 14). Uprooting Mandrake: The Story of an Advanced Android Spyware Framework That Went Undetected for 4 Years. Retrieved July 15, 2020.;https://www.bitdefender.com/files/News/CaseStudies/study/329/Bitdefender-PR-Whitepaper-Mandrake-creat4464-en-EN-interactive.pdf
BlackHat Sutter Android Foreground 2019;Thomas Sutter. (2019, December). Simple Spyware Androids Invisible Foreground Services and How to (Ab)use Them. Retrieved December 26, 2019.;https://i.blackhat.com/eu-19/Thursday/eu-19-Sutter-Simple-Spyware-Androids-Invisible-Foreground-Services-And-How-To-Abuse-Them.pdf
Blackberry Bahamut;The Blackberry Research & Intelligence Team. (2020, October). BAHAMUT: Hack-for-Hire Masters of Phishing, Fake News, and Fake Apps. Retrieved February 8, 2021.;https://www.blackberry.com/us/en/pdfviewer?file=/content/dam/blackberry-com/asset/enterprise/pdf/direct/report-spark-bahamut.pdf
Brodie;Daniel Brodie. (2016). Practical Attacks against Mobile Device Management (MDM). Retrieved December 21, 2016.;https://media.blackhat.com/eu-13/briefings/Brodie/bh-eu-13-lacoon-attacks-mdm-brodie-wp.pdf
Bromium-AndroidRCE;Tom Sutcliffe. (2014, July 31). Remote code execution on Android devices. Retrieved December 9, 2016.;https://labs.bromium.com/2014/07/31/remote-code-execution-on-android-devices/
CNET-Celljammer;Chris Matyszczyk. (2014, May 1). FCC: Man used device to jam drivers' cell phone calls. Retrieved November 8, 2018.;https://www.cnet.com/news/man-put-cell-phone-jammer-in-car-to-stop-driver-calls-fcc-says/
CSRIC-WG1-FinalReport;CSRIC-WG1-FinalReport;
CSRIC5-WG10-FinalReport;Communications Security, Reliability, Interoperability Council (CSRIC). (2017, March). Working Group 10 Legacy Systems Risk Reductions Final Report. Retrieved May 24, 2017.;https://www.fcc.gov/files/csric5-wg10-finalreport031517pdf
CYBERWARCON CHEMISTGAMES;B. Leonard, N. Mehta. (2019, November 21). The Secret Life of Sandworms. Retrieved December 31, 2020.;https://www.youtube.com/watch?v=xoNSbm1aX_w
Check Point-Joker;Hazum, A., Melnykov, B., Wernik, I.. (2020, July 9). New Joker variant hits Google Play with an old trick. Retrieved July 20, 2020.;https://research.checkpoint.com/2020/new-joker-variant-hits-google-play-with-an-old-trick/
CheckPoint Agent Smith;A. Hazum, F. He, I. Marom, B. Melnykov, A. Polkovnichenko. (2019, July 10). Agent Smith: A New Species of Mobile Malware. Retrieved May 7, 2020.;https://research.checkpoint.com/2019/agent-smith-a-new-species-of-mobile-malware/
CheckPoint Cerberus;A. Hazum, B. Melnykov, C. Efrati, D. Golubenko, I. Wernik, L. Kuperman, O. Mana. (2020, April 29). First seen in the wild – Malware uses Corporate MDM as attack vector. Retrieved June 26, 2020.;https://research.checkpoint.com/2020/mobile-as-attack-vector-using-mdm/
CheckPoint SimBad 2019;Elena Root, Andrey Polkovnichenko. (2019, March 13). SimBad: A Rogue Adware Campaign On Google Play. Retrieved November 21, 2019.;https://research.checkpoint.com/simbad-a-rogue-adware-campaign-on-google-play/
CheckPoint-BrainTest;Andrey Polkovnichenko and Alon Boxiner. (2015, September 21). BrainTest – A New Level of Sophistication in Mobile Malware. Retrieved December 21, 2016.;http://blog.checkpoint.com/2015/09/21/braintest-a-new-level-of-sophistication-in-mobile-malware/
CheckPoint-Charger;Oren Koriat and Andrey Polkovnichenko. (2017, January 24). Charger Malware Calls and Raises the Risk on Google Play. Retrieved January 24, 2017.;http://blog.checkpoint.com/2017/01/24/charger-malware/
CheckPoint-Judy;CheckPoint. (2017, May 25). The Judy Malware: Possibly the largest malware campaign found on Google Play. Retrieved September 18, 2018.;https://blog.checkpoint.com/2017/05/25/judy-malware-possibly-largest-malware-campaign-found-google-play/
CitizenLab Circles;Bill Marczak, John Scott-Railton, Siddharth Prakash Rao, Siena Anstis, and Ron Deibert. (2020, December 1). Running in Circles Uncovering the Clients of Cyberespionage Firm Circles. Retrieved December 23, 2020.;https://citizenlab.ca/2020/12/running-in-circles-uncovering-the-clients-of-cyberespionage-firm-circles/
Cloak and Dagger;Fratantonio, Y., et al.. (2017). Cloak & Dagger. Retrieved September 18, 2019.;http://cloak-and-dagger.org/
Cofense Anubis;M. Feller. (2020, February 5). Infostealer, Keylogger, and Ransomware in One: Anubis Targets More than 250 Android Applications. Retrieved April 8, 2020.;https://cofense.com/infostealer-keylogger-ransomware-one-anubis-targets-250-android-applications/
Computerworld-Femtocell;Jaikumar Vijayan. (2013, August 1). Researchers exploit cellular tech flaws to intercept phone calls. Retrieved December 24, 2016.;http://www.computerworld.com/article/2484538/cybercrime-hacking/researchers-exploit-cellular-tech-flaws-to-intercept-phone-calls.html
Computerworld-iPhoneCracking;Lucas Mearian. (2018, May 9). Two vendors now sell iPhone cracking technology – and police are buying. Retrieved September 21, 2018.;https://www.computerworld.com/article/3268729/apple-ios/two-vendors-now-sell-iphone-cracking-technology-and-police-are-buying.html
ConnMonitor;Anti Spy Mobile. (2016, March 14). Network Connections. Retrieved December 21, 2016.;https://play.google.com/store/apps/details?id=com.antispycell.connmonitor&hl=en
CrowdStrike VOODOO BEAR;Meyers, A. (2018, January 19). Meet CrowdStrike’s Adversary of the Month for January: VOODOO BEAR. Retrieved May 22, 2018.;https://www.crowdstrike.com/blog/meet-crowdstrikes-adversary-of-the-month-for-january-voodoo-bear/
CrowdStrike-Android;CrowdStrike Global Intelligence Team. (2016). Use of Fancy Bear Android Malware in Tracking of Ukrainian FIeld Artillery Units. Retrieved February 6, 2017.;https://www.crowdstrike.com/wp-content/brochures/FancyBearTracksUkrainianArtillery.pdf
Crowdstrike DNC June 2016;Alperovitch, D.. (2016, June 15). Bears in the Midst: Intrusion into the Democratic National Committee. Retrieved August 3, 2016.;https://www.crowdstrike.com/blog/bears-midst-intrusion-democratic-national-committee/
CyberMerchants-FlexiSpy;Actis B. (2017, April 22). FlexSpy Application Analysis. Retrieved September 4, 2019.;http://www.cybermerchantsofdeath.com/blog/2017/04/22/FlexiSpy.html
Cybereason EventBot;D. Frank, L. Rochberger, Y. Rimmer, A. Dahan. (2020, April 30). EventBot: A New Mobile Banking Trojan is Born. Retrieved June 26, 2020.;https://www.cybereason.com/blog/eventbot-a-new-mobile-banking-trojan-is-born
Cybereason FakeSpy;O. Almkias. (2020, July 1). FakeSpy Masquerades as Postal Service Apps Around the World. Retrieved September 15, 2020.;https://www.cybereason.com/blog/fakespy-masquerades-as-postal-service-apps-around-the-world
Cyberscoop Evade Analysis January 2019;Jeff Stone. (2019, January 18). Sneaky motion-detection feature found on Android malware. Retrieved October 2, 2019.;https://www.cyberscoop.com/android-malware-motion-detection-trend-micro/
DOJ GRU Indictment Jul 2018;Mueller, R. (2018, July 13). Indictment - United States of America vs. VIKTOR BORISOVICH NETYKSHO, et al. Retrieved September 13, 2018.;https://www.justice.gov/file/1080281/download
Data Driven Security DGA;Jacobs, J. (2014, October 2). Building a DGA Classifier: Part 2, Feature Engineering. Retrieved February 18, 2019.;https://datadrivensecurity.info/blog/posts/2014/Oct/dga-part2/
Digitaltrends-Celljam;Trevor Mogg. (2015, June 5). Florida teacher punished after signal-jamming his students’ cell phones. Retrieved November 8, 2018.;https://www.digitaltrends.com/mobile/florida-teacher-punished-after-signal-jamming-his-students-cell-phones/
Dr.Webb Clipboard Modification origin August 2018;Dr.Webb. (2018, August 8). Android.Clipper.1.origin. Retrieved July 26, 2019.;https://vms.drweb.com/virus/?i=17517750
Dr.Webb Clipboard Modification origin2 August 2018;Dr.Webb. (2018, August 8). Android.Clipper.2.origin. Retrieved July 26, 2019.;https://vms.drweb.com/virus/?i=17517761
Dragos ELECTRUM;Dragos. (2017, January 1). ELECTRUM Threat Profile. Retrieved June 10, 2020.;https://www.dragos.com/resource/electrum/
ESET 2FA Bypass;Luká_ _tefanko. (2019, June 17). Malware sidesteps Google permissions policy with new 2FA bypass technique. Retrieved September 15, 2019.;https://www.welivesecurity.com/2019/06/17/malware-google-permissions-2fa-bypass/
ESET Clipboard Modification February 2019;ESET. (2019, February 11). First clipper malware discovered on Google Play.. Retrieved July 26, 2019.;https://www.eset.com/uk/about/newsroom/press-releases/first-clipper-malware-discovered-on-google-play-1/
ESET DEFENSOR ID;L. Stefanko. (2020, May 22). Insidious Android malware gives up all malicious features but one to gain stealth. Retrieved June 26, 2020.;https://www.welivesecurity.com/2020/05/22/insidious-android-malware-gives-up-all-malicious-features-but-one-gain-stealth/
ESET Sednit Part 3;ESET. (2016, October). En Route with Sednit - Part 3: A Mysterious Downloader. Retrieved November 21, 2016.;http://www.welivesecurity.com/wp-content/uploads/2016/10/eset-sednit-part3.pdf
ESET Zebrocy May 2019;ESET Research. (2019, May 22). A journey to Zebrocy land. Retrieved June 20, 2019.;https://www.welivesecurity.com/2019/05/22/journey-zebrocy-land/
ESET-Twitoor;ESET. (2016, August 24). First Twitter-controlled Android botnet discovered. Retrieved December 22, 2016.;http://www.welivesecurity.com/2016/08/24/first-twitter-controlled-android-botnet-discovered/
EkbergTEE;Jan-Erik Ekberg. (2015, September 10). Android and trusted execution environments. Retrieved December 9, 2016.;https://usmile.at/symposium/program/2015/ekberg
Elcomsoft Decrypt Keychain;V. Katalov. (2018, December 18). Six Ways to Decrypt iPhone Passwords from the Keychain. Retrieved June 24, 2020.;https://blog.elcomsoft.com/2018/12/six-ways-to-decrypt-iphone-passwords-from-the-keychain/
Elcomsoft-EPPB;Elcomsoft. (n.d.). Elcomsoft Phone Breaker. Retrieved December 29, 2016.;https://www.elcomsoft.com/eppb.html
Elcomsoft-WhatsApp;Oleg Afonin. (2017, July 20). Extract and Decrypt WhatsApp Backups from iCloud. Retrieved July 6, 2018.;https://blog.elcomsoft.com/2017/07/extract-and-decrypt-whatsapp-backups-from-icloud/
Elcomsoft-iOSRestricted;Oleg Afonin. (2018, September 20). iOS 12 Enhances USB Restricted Mode. Retrieved September 21, 2018.;https://blog.elcomsoft.com/2018/09/ios-12-enhances-usb-restricted-mode/
Engel-SS7;Tobias Engel. (2014, December). SS7: Locate. Track. Manipulate.. Retrieved December 19, 2016.;https://berlin.ccc.de/~tobias/31c3-ss7-locate-track-manipulate.pdf
Engel-SS7-2008;Tobias Engel. (2008, December). Locating Mobile Phones using SS7. Retrieved December 19, 2016.;https://www.youtube.com/watch?v=q0n5ySqbfdI
F-Secure BlackEnergy 2014;F-Secure Labs. (2014). BlackEnergy & Quedagh: The convergence of crimeware and APT attacks. Retrieved March 24, 2016.;https://blog-assets.f-secure.com/wp-content/uploads/2019/10/15163408/BlackEnergy_Quedagh.pdf
Fadeev Code Injection Aug 2018;Alexandr Fadeev. (2018, August 26). Shared Library Injection on Android 8.0. Retrieved October 30, 2019.;https://fadeevab.com/shared-library-injection-on-android-8/
Fahl-Clipboard;Fahl, S, et al.. (2013). Hey, You, Get Off of My Clipboard. Retrieved August 27, 2019.;http://saschafahl.de/static/paper/pwmanagers2013.pdf
Felt-PhishingOnMobileDevices;A.P. Felt and D. Wagner. (2011, May 26). Phishing on Mobile Devices. Retrieved August 25, 2016.;http://w2spconf.com/2011/papers/felt-mobilephishing.pdf
FinFisher Citation;FinFisher. (n.d.). Retrieved December 20, 2017.;http://www.finfisher.com/FinFisher/index.html
FireEye APT28;FireEye. (2015). APT28: A WINDOW INTO RUSSIA’S CYBER ESPIONAGE OPERATIONS?. Retrieved August 19, 2015.;https://www.fireeye.com/content/dam/fireeye-www/global/en/current-threats/pdfs/rpt-apt28.pdf
FireEye APT28 January 2017;FireEye iSIGHT Intelligence. (2017, January 11). APT28: At the Center of the Storm. Retrieved January 11, 2017.;https://www2.fireeye.com/rs/848-DID-242/images/APT28-Center-of-Storm-2017.pdf
FireEye FinSpy Sept 2017;Jiang, G., et al. (2017, September 12). FireEye Uncovers CVE-2017-8759: Zero-Day Used in the Wild to Distribute FINSPY. Retrieved February 15, 2018.;https://www.fireeye.com/blog/threat-research/2017/09/zero-day-used-to-distribute-finspy.html
FireEye-JSPatch;Jing Xie, Zhaofeng Chen, Jimmy Su. (2016, January 27). HOT OR NOT? THE BENEFITS AND RISKS OF IOS REMOTE HOT PATCHING. Retrieved December 9, 2016.;https://www.fireeye.com/blog/threat-research/2016/01/hot_or_not_the_bene.html
FireEye-RuMMS;Wu Zhou, Deyu Hu, Jimmy Su, Yong Kang. (2016, April 26). RUMMS: THE LATEST FAMILY OF ANDROID MALWARE ATTACKING USERS IN RUSSIA VIA SMS PHISHING. Retrieved February 6, 2017.;https://www.fireeye.com/blog/threat-research/2016/04/rumms-android-malware.html
FireEye-SSL;Adrian Mettler, Yulong Zhang, Vishwanath Raman. (2014, August 20). SSL VULNERABILITIES: WHO LISTENS WHEN ANDROID APPLICATIONS TALK?. Retrieved December 24, 2016.;https://www.fireeye.com/blog/threat-research/2014/08/ssl-vulnerabilities-who-listens-when-android-applications-talk.html
FlexiSpy-Features;FlexiSpy. (n.d.). FlexiSpy Monitoring Features. Retrieved September 4, 2019.;https://www.flexispy.com/en/features-overview.htm
FlexiSpy-Website;FlexiSpy. (n.d.). FlexiSpy. Retrieved September 4, 2019.;https://www.flexispy.com/
Forbes Cerberus;Z. Doffman. (2019, August 16). Warning As Devious New Android Malware Hides In Fake Adobe Flash Player Installations (Updated). Retrieved June 26, 2020.;https://www.forbes.com/sites/zakdoffman/2019/08/16/dangerous-new-android-trojan-hides-from-malware-researchers-and-taunts-them-on-twitter/#1563fef26d9c
Forbes-iPhoneSMS;Andy Greenberg. (2009, July 28). How to Hijack 'Every iPhone In The World'. Retrieved December 23, 2016.;http://www.forbes.com/2009/07/28/hackers-iphone-apple-technology-security-hackers.html
FortiGuard-FlexiSpy;K. Lu. (n.d.). Deep Technical Analysis of the Spyware FlexiSpy for Android. Retrieved September 10, 2019.;https://d3gpjj9d20n0p3.cloudfront.net/fortiguard/research/Dig%20Deep%20into%20FlexiSpy%20for%20Android%28white%20paper%29_KaiLu.pdf
Fortinet screencap July 2019;Dario Durando. (2019, July 3). BianLian: A New Wave Emerges. Retrieved September 4, 2019.;https://www.fortinet.com/blog/threat-research/new-wave-bianlian-malware.html
GRIZZLY STEPPE JAR;Department of Homeland Security and Federal Bureau of Investigation. (2016, December 29). GRIZZLY STEPPE – Russian Malicious Cyber Activity. Retrieved January 11, 2017.;https://www.us-cert.gov/sites/default/files/publications/JAR_16-20296A_GRIZZLY%20STEPPE-2016-1229.pdf
Ghost Push;Gooligan has been described as being part of the Ghost Push Android malware family. (Citation: Ludwig-GhostPush) (Citation: Lookout-Gooligan);
Github Anti-emulator;Tim Strazzere. (n.d.). Android Anti-Emulator. Retrieved October 2, 2019.;https://github.com/strazzere/anti-emulator
Github Capture Clipboard 2019;Pearce, G. (, January). Retrieved August 8, 2019.;https://github.com/grepx/android-clipboard-security
Google Bread;A. Guertin, V. Kotov, Android Security & Privacy Team. (2020, January 9). PHA Family Highlights: Bread (and Friends) . Retrieved April 27, 2020.;https://security.googleblog.com/2020/01/pha-family-highlights-bread-and-friends.html
Google NDK Getting Started;Google. (2019, December 27). Getting Started with the NDK. Retrieved April 28, 2020.;https://developer.android.com/ndk/guides
Google Project Zero Insomnia;I. Beer. (2019, August 29). Implant Teardown. Retrieved June 2, 2020.;https://googleprojectzero.blogspot.com/2019/08/implant-teardown.html
Google Security Zen;Siewierski, L. (2019, January 11). PHA Family Highlights: Zen and its cousins . Retrieved July 27, 2020.;https://security.googleblog.com/2019/01/pha-family-highlights-zen-and-its.html
Google Triada June 2019;Lukasz Siewierski. (2019, June 6). PHA Family Highlights: Triada. Retrieved July 16, 2019.;https://security.googleblog.com/2019/06/pha-family-highlights-triada.html
Google-Chrysaor;Rich Cannings et al.. (2017, April 3). An investigation of Chrysaor Malware on Android. Retrieved April 16, 2017.;https://android-developers.googleblog.com/2017/04/an-investigation-of-chrysaor-malware-on.html
Google-TrustManager;Google. (n.d.). How to fix apps containing an unsafe implementation of TrustManager. Retrieved December 24, 2016.;https://support.google.com/faqs/answer/6346016?hl=en
GoogleIO2016;Adrian Ludwig. (2016, May 19). What's new in Android security (M and N Version). Retrieved December 9, 2016.;https://www.youtube.com/watch?v=XZzLjllizYs
GoogleProjectZero-OATmeal;Jann Horn. (2018, September 10). OATmeal on the Universal Cereal Bus: Exploiting Android phones over USB. Retrieved September 18, 2018.;https://googleprojectzero.blogspot.com/2018/09/oatmeal-on-universal-cereal-bus.html
Gooligan Citation;Check Point Research Team. (2016, November 30). More Than 1 Million Google Accounts Breached by Gooligan. Retrieved December 12, 2016.;http://blog.checkpoint.com/2016/11/30/1-million-google-accounts-breached-gooligan/
Grace-Advertisement;M. Grace et al. (2012, April 16-18). Unsafe exposure analysis of mobile in-app advertisements. Retrieved December 22, 2016.;https://www.csc2.ncsu.edu/faculty/xjiang4/pubs/WISEC12_ADRISK.pdf
Group IB Gustuff Mar 2019;Group-IB. (2019, March 28). Group-IB uncovers Android Trojan named «Gustuff» capable of targeting more than 100 global banking apps, cryptocurrency and marketplace applications. Retrieved September 3, 2019.;https://www.group-ib.com/blog/gustuff
Guardian-Simswap;Miles Brignall. (2016, April 16). Sim-swap fraud claims another mobile banking victim. Retrieved December 12, 2016.;https://www.theguardian.com/money/2016/apr/16/sim-swap-fraud-mobile-banking-fraudsters
Guardsquare Janus;Guarsquare. (2017, November 13). New Android vulnerability allows attackers to modify apps without affecting their signatures. Retrieved May 7, 2020.;https://www.guardsquare.com/en/blog/new-android-vulnerability-allows-attackers-modify-apps-without-affecting-their-signatures
HackerNews-Allwinner;Mohit Kumar. (2016, May 11). Kernel Backdoor found in Gadgets Powered by Popular Chinese ARM Maker. Retrieved September 18, 2018.;https://thehackernews.com/2016/05/android-kernal-exploit.html
HackerNews-OldBoot;Sudhir K Bansal. (2014, January 28). First widely distributed Android bootkit Malware infects more than 350,000 Devices. Retrieved December 21, 2016.;http://thehackernews.com/2014/01/first-widely-distributed-android.html
Hassell-ExploitingAndroid;R. Hassell. (2011, October 12-13). Exploiting Androids for Fun and Profit. Retrieved October 10, 2019.;https://conference.hitb.org/hitbsecconf2011kul/materials/D1T1%20-%20Riley%20Hassell%20-%20Exploiting%20Androids%20for%20Fun%20and%20Profit.pdf
Honan-Hacking;Mat Honan. (2012, August 6). How Apple and Amazon Security Flaws Led to My Epic Hacking. Retrieved December 29, 2016.;https://www.wired.com/2012/08/apple-amazon-mat-honan-hacking/
IBM-NexusUSB;Roee Hay. (2017, January 5). Android Vulnerabilities: Attacking Nexus 6 and 6P Custom Boot Modes. Retrieved January 11, 2017.;https://securityintelligence.com/android-vulnerabilities-attacking-nexus-6-and-6p-custom-boot-modes/
IBTimes-ThirdParty;A Prasad. (2016, February 19). Danger lurks in third-party Android app stores. Retrieved November 8, 2018.;https://www.ibtimes.co.uk/danger-lurks-third-party-android-app-stores-1544861
IETF-OAuthNativeApps;W. Denniss and J. Bradley. (2017, October). IETF RFC 8252: OAuth 2.0 for Native Apps. Retrieved November 30, 2018.;https://tools.ietf.org/html/rfc8252
IETF-PKCE;N. Sakimura, J. Bradley, and N. Agarwal. (2015, September). IETF RFC 7636: Proof Key for Code Exchange by OAuth Public Clients. Retrieved December 21, 2016.;https://tools.ietf.org/html/rfc7636
InfoSecurity Sandworm Oct 2014;Muncaster, P.. (2014, October 14). Microsoft Zero Day Traced to Russian ‘Sandworm’ Hackers. Retrieved October 6, 2017.;https://www.infosecurity-magazine.com/news/microsoft-zero-day-traced-russian/
Kaspersky Riltok June 2019;Tatyana Shishkova. (2019, June 25). Riltok mobile Trojan: A banker with global reach. Retrieved August 7, 2019.;https://securelist.com/mobile-banker-riltok/91374/
