ID;name;description;url;created;last modified;version
M0804;Human User Authentication;The device should require that a user authenticates before they can remotely access it, or send a command to it. While strong multi-factor authentication is preferrable, it is not always feasible within this ICS environments. Performing strong user authentication also requires additional security controls and processes which are often the target of related adversarial techniques (e.g., Valid Accounts, Default Credentials). Therefore, associated ATT&CK mitigations should be considered in addition to this, including Multi-factor Authentication  (M1032), Account Use Policies (M1036), Password Policies (M1027), User Account Management (M1018), Privileged Account Management  (M1026), and User Account Control (M1052).;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0804;11 September 2020;17 September 2020;1.0
M0935;Limit Access to Resource Over Network;Prevent access to file shares, remote access to systems, unnecessary services. Mechanisms to limit access may include use of network concentrators, RDP gateways, etc.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0935;11 June 2019;10 April 2021;1.0
M0934;Limit Hardware Installation;Block users or groups from installing or using unapproved hardware on systems, including USB devices.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0934;11 June 2019;10 April 2021;1.0
M0805;Mechanical Protection Layers;Utilize a layered protection design based on physical or mechanical protection systems to prevent damage to property, equipment, human safety, or the environment. Preferably protection devices should have minimal digital components to prevent exposure to related adversarial techniques. Examples of include interlocks, rupture disk, release values, etc. (Citation: IEC 61511);https://collaborate.mitre.org/attackics/index.php/Mitigation/M0805;11 September 2020;17 September 2020;1.0
M0806;Minimize Wireless Signal Propagation;Wireless signals frequently propagate outside of organizational boundaries, which provide opportunities for adversaries to monitor or gain unauthorized access to the wireless communication. (Citation: CISA Mar 2010) To minimize this threat, organizations should implement measures to detect, understand, and reduce unnecessary RF propagation. (Citation: DHS National Urban Security Technology Laboratory Apr 2019) Techniques can include (i) reducing transmission power on wireless signals, (ii) adjust antenna gain to prevent extensions beyond organizational boundaries, and (iii) employ RF shielding techniques to block excessive signal propagation.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0806;11 September 2020;17 September 2020;1.0
M0816;Mitigation Limited or Not Effective;This type of attack technique cannot be easily mitigated with preventative controls since it is based on the abuse of system features.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0816;11 September 2020;17 September 2020;1.0
M0932;Multi-factor Authentication;"Use two or more pieces of evidence to authenticate to a system; such as username and password in addition to a token from a physical smart card or token generator. Within industrial control environments assets such as low-level controllers, workstations, and HMIs have real-time operational control and safety requirements which may restrict the use of multi-factor.";https://collaborate.mitre.org/attackics/index.php/Mitigation/M0932;10 June 2019;10 April 2021;1.0
M0807;Network Allowlists;Network allowlists can be implemented through either host-based files or system hosts files to specify what external connections (e.g., IP address, MAC address, port, protocol) can be made from a device. Allowlist techniques that operate at the application layer (e.g., DNP3, Modbus, HTTP) are addressed in Filter Network Traffic mitigation.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0807;10 June 2019;12 April 2021;1.0
M0931;Network Intrusion Prevention;Use intrusion detection signatures to block traffic at network boundaries. In industrial control environments, network intrusion prevention should be configured so it will not disrupt protocols and communications responsible for real-time functions related to control or safety.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0931;10 June 2019;10 April 2021;1.0
M0930;Network Segmentation;Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should not be exposed from the internal network. Restrict network access to only required systems and services. In addition, prevent systems from other networks or business functions (e.g., enterprise) from accessing critical process control systems. For example, in IEC 62443, systems within the same secure level should be grouped into a 'zone', and access to that zone is restricted by a 'conduit', or mechanism to restrict data flows between zones by segmenting the network.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0928;10 June 2019;10 April 2021;1.0
M0928;Operating System Configuration;Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0928;06 June 2019;10 April 2021;1.0
M0809;Operational Information Confidentiality;Deploy mechanisms to protect the confidentiality of information related to operational processes, facility locations, device configurations, programs, or databases that may have information that can be used to infer organizational trade-secrets, recipes, and other intellectual property (IP). Example mitigations could include restricting read privileges, encrypting data, and obfuscating the information (e.g., facility coverterms, codenames). In many cases this information may be necessary to support critical engineering, maintenance, or operational functions, therefore, it may not be feasible to implement.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0809;06 June 2019;22 September 2020;1.0
M0810;Out-of-Band Communications Channel;Provide operators with redundant, out-of-band communication to support monitoring and control of the operational processes, especially when recovering from a network outage. (Citation: NIST Apr 2013)(Citation: DARPA) Out-of-band communication should utilize diverse systems and technologies to minimize common failure modes and vulnerabilities within the communications infrastructure. For example, wireless networks (e.g., 3G, 4G) can be used to provide diverse and redundant delivery of data.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0810;06 June 2019;22 September 2020;1.0
M0927;Password Policies;Set and enforce secure password policies for accounts.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0927;06 June 2019;10 April 2021;1.0
M0926;Privileged Account Management;Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0926;06 June 2019;10 April 2021;1.0
M0811;Redundancy of Service;Redundancy could be provided through both the devices or services, such as back-up devices or hot-standby's. Hot-standbys in diverse locations can ensure continued operations if the primarily system are compromised or unavailable. At the network layer, protocols such as the Parallel Redundancy Protocol (PRP, IEC 62439-3:2012-07) can be used to simulatenously use redundant and diverse communication over a local network.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0811;06 June 2019;29 September 2020;1.0
M0922;Restrict File and Directory Permissions;Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0922;06 June 2019;10 April 2021;1.0
M0944;Restrict Library Loading;Prevent abuse of library loading mechanisms in the operating system and software to load untrusted code by configuring appropriate library loading mechanisms and investigating potential vulnerable software.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0944;11 June 2019;10 April 2021;1.0
M0924;Restrict Registry Permissions;Restrict the ability to modify certain hives or keys in the Windows Registry.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0924;06 June 2019;10 April 2021;1.0
M0921;Restrict Web-Based Content;Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0921;06 June 2019;10 April 2021;1.0
M0920;SSL/TLS Inspection;Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0920;06 June 2019;10 April 2021;1.0
M0812;Safety Instrumented Systems;Utilize Safety Instrumented Systems (SIS) to provide an additional layer of protection to hazard scenarios that may cause property damage. A SIS will typically included sensors, logic solvers, and a final control element that can be used to automatically respond to an hazardous condition. Ensure that all SISs are segmented from operational networks to prevent them from being targeted by additional adversarial behavior.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0812;06 June 2019;22 September 2020;1.0
M0954;Software Configuration;Implement configuration changes to software (other than the operating system) to mitigate security risks associated to how the software operates.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0954;19 July 2019;10 April 2021;1.0
M0813;Software Process and Device Authentication;Require the authentication of devices and software processes where appropriate. Devices that connect remotely to other systems should require strong authentication to prevent spoofing of communications. Furthermore, software processes should also require authentication if accessing a local or remote API.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0813;06 June 2019;25 September 2020;1.0
M0814;Static Network Configuration;Configure hosts and devices to use static network configurations when possible, protocols that require dynamic discovery/addressing (e.g., ARP, DHCP, DNS) can be used to manipulate network message forwarding and enable various MitM attacks. This mitigation may not always be usable due to limited device features or challenges introduced with network configurations.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0814;06 June 2019;25 September 2020;1.0
M0817;Supply Chain Management;Implement a supply chain management program, including policies and procedures to ensure all devices and components originate from a trusted supplier and are tested to verify their integrity.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0817;12 April 2021;12 April 2021;1.0
M0919;Threat Intelligence Program;A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0919;06 June 2019;10 April 2021;1.0
M1051;Update Software;Perform regular software updates to mitigate exploitation risk. Software updates may need to be scheduled around operational down times.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0951;11 June 2019;10 April 2021;1.0
M0918;User Account Management;Manage the creation, modification, use, and permissions associated to user accounts.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0918;06 June 2019;10 April 2021;1.0
M0917;User Training;Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0917;06 June 2019;10 April 2021;1.0
M0916;Vulnerability Scanning;Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0916;06 June 2019;10 April 2021;1.0
M0815;Watchdog Timers;Utilize watchdog timers to ensure devices can quickly detect whether a system is operational, unresponsive, or in a good state. System / process restarts should be performed when a timeout condition occurs.;https://collaborate.mitre.org/attackics/index.php/Mitigation/M0815;06 June 2019;29 September 2020;1.0
