Competency ID;Competency;KSA ID;KSA
C055;Threat Analysis;K0480;Knowledge of malware.
C055;Threat Analysis;K0603;Knowledge of the ways in which targets or threats use the Internet.
C055;Threat Analysis;K0604;Knowledge of threat and/or target systems.
C055;Threat Analysis;K0612;Knowledge of what constitutes a “threat” to a network.
C055;Threat Analysis;S0229;Skill in identifying cyber threats which may jeopardize organization and/or partner interests.
C055;Threat Analysis;A0107;Ability to think like threat actors.
C057;Vulnerabilities Assessment;K0005;Knowledge of cyber threats and vulnerabilities. 
C057;Vulnerabilities Assessment;K0006;Knowledge of specific operational impacts of cybersecurity lapses.
C057;Vulnerabilities Assessment;K0392;Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.).
C058;Web Technology;K0349;Knowledge of website types, administration, functions, and content management system (CMS).
C058;Web Technology;K0444;Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP).
C058;Web Technology;S0289;Skill in using multiple search engines (e.g., Google, Yahoo, LexisNexis, DataStar) and tools in conducting open-source searches.
C047;Strategic Planning;S0216;Skill in evaluating available capabilities against desired effects to provide effective courses of action.
C030;Legal, Government, and Jurisprudence;K0003;Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. 
C030;Legal, Government, and Jurisprudence;K0410;Knowledge of cyber laws and their effect on Cyber planning.
C037;Organizational Awareness;K0511;Knowledge of organizational hierarchy and cyber decision-making processes.
C037;Organizational Awareness;K0598;Knowledge of the structure and intent of organization specific plans, guidance and authorizations.
C041;Process Control;S0296;Skill in utilizing feedback to improve processes, products, and services.
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C011;Critical Thinking;A0087;Ability to focus research efforts to meet the customer’s decision-making needs.
C011;Critical Thinking;A0101;Ability to recognize and mitigate cognitive biases which may affect analysis.
C011;Critical Thinking;A0106;Ability to think critically.
C011;Critical Thinking;A0085;Ability to exercise judgment when policies are not well-defined.
C011;Critical Thinking;A0108;Ability to understand objectives and effects.
C028;Interpersonal Skills;A0082;Ability to effectively collaborate via virtual teams.
C028;Interpersonal Skills;A0088;Ability to function effectively in a dynamic, fast-paced environment.
C028;Interpersonal Skills;A0089;Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise.
C036;Oral Communication;A0072;Ability to clearly articulate intelligence requirements into well-formulated research questions and data tracking variables for inquiry tracking purposes.
C039;Presenting Effectively;S0249;Skill in preparing and presenting briefings.
C039;Presenting Effectively;S0297;Skill in utilizing virtual collaborative workspaces and/or tools (e.g., IWS, VTCs, chat rooms, SharePoint).
C039;Presenting Effectively;A0013;Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means. 
C060;Written Communication;S0254;Skill in providing analysis to aid writing phased after action reports.
C060;Written Communication;S0303;Skill in writing, reviewing and editing cyber-related Intelligence/assessment products from multiple sources.
C005;Computer Forensics;K0449;Knowledge of how to extract, analyze, and use metadata.
C007;Computer Network Defense;K0405;Knowledge of current computer-based intrusion sets.
C007;Computer Network Defense;K0440;Knowledge of host-based security products and how those products affect exploitation and reduce vulnerability.
C007;Computer Network Defense;K0507;Knowledge of organization or partner exploitation of digital networks.
C008;Computers and Electronics;K0109;Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage).
C012;Data Analysis;S0194;Skill in conducting non-attributable research.
C012;Data Analysis;S0218;Skill in evaluating information for reliability, validity, and relevance.
C012;Data Analysis;S0227;Skill in identifying alternative analytical interpretations to minimize unanticipated outcomes.
C012;Data Analysis;S0288;Skill in using multiple analytic tools, databases, and techniques (e.g., Analyst’s Notebook, A-Space, Anchory, M3, divergent/convergent thinking, link charts, matrices, etc.).
C012;Data Analysis;A0084;Ability to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) into high quality, fused targeting/intelligence products.
C012;Data Analysis;A0083;Ability to evaluate information for reliability, validity, and relevance.
C013;Data Management;K0377;Knowledge of classification and control markings standards, policies and procedures.
C013;Data Management;A0066;Ability to accurately and completely source all data used in intelligence, assessment and/or planning products.
C016;Database Management Systems;S0292;Skill in using targeting databases and software packages.
C017;Encryption;K0427;Knowledge of encryption algorithms and cyber capabilities/tools (e.g., SSL, PGP).
C023;Information Management;K0409;Knowledge of cyber intelligence/information collection capabilities and repositories.
C023;Information Management;S0278;Skill in tailoring analysis to the necessary levels (e.g., classification and organizational).
C024;Information Systems/Network Security;K0004;Knowledge of cybersecurity and privacy principles.
C024;Information Systems/Network Security;K0561;Knowledge of the basics of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection).
C025;Information Technology Assessment;S0271;Skill in reviewing and editing assessment products.
C025;Information Technology Assessment;S0360;Skill to analyze and assess internal and external partner cyber operations capabilities and tools.
C026;Infrastructure Design;K0001;Knowledge of computer networking concepts and protocols, and network security methodologies. 
C026;Infrastructure Design;K0395;Knowledge of computer networking fundamentals (i.e., basic computer components of a network, types of networks, etc.).
C026;Infrastructure Design;K0417;Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media).
C026;Infrastructure Design;K0437;Knowledge of general Supervisory control and data acquisition (SCADA) system components.
C026;Infrastructure Design;K0471;Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering).
C026;Infrastructure Design;K0516;Knowledge of physical and logical network devices and infrastructure to include hubs, switches, routers, firewalls, etc.
C026;Infrastructure Design;K0565;Knowledge of the common networking and routing protocols (e.g. TCP/IP), services (e.g., web, mail, DNS), and how they interact to provide network communications.
C027;Intelligence Analysis;K0457;Knowledge of intelligence confidence levels.
C027;Intelligence Analysis;K0460;Knowledge of intelligence preparation of the environment and similar processes.
C027;Intelligence Analysis;K0464;Knowledge of intelligence support to planning, execution, and assessment.
C027;Intelligence Analysis;A0091;Ability to identify intelligence gaps.
C027;Intelligence Analysis;A0102;Ability to recognize and mitigate deception in reporting and analysis.
C027;Intelligence Analysis;A0109;Ability to utilize multiple intelligence sources across all intelligence disciplines.
C031;Mathematical Reasoning;S0285;Skill in using Boolean operators to construct simple and complex queries.
C033;Network Management;K0058;Knowledge of network traffic analysis methods.
C035;Operations Support;K0414;Knowledge of cyber operations support or enabling processes.
C035;Operations Support;K0436;Knowledge of fundamental cyber operations concepts, terminology/lexicon (i.e., environment preparation, cyber-attack, cyber defense), principles, capabilities, limitations, and effects.
C035;Operations Support;K0465;Knowledge of internal and external partner cyber operations capabilities and tools.
C035;Operations Support;S0189;Skill in assessing and/or estimating effects generated during and after cyber operations.
C035;Operations Support;S0203;Skill in defining and characterizing all pertinent aspects of the operational environment.
C040;Problem Solving;S0211;Skill in developing or recommending analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
C040;Problem Solving;A0080;Ability to develop or recommend analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
C048;System Administration;K0610;Knowledge of virtualization products (VMware, Virtual PC).
C049;Systems Integration;K0036;Knowledge of human-computer interaction principles.
C051;Target Development;K0549;Knowledge of target vetting and validation procedures.
C051;Target Development;K0551;Knowledge of targeting cycles.
C051;Target Development;S0228;Skill in identifying critical target elements, to include critical target elements for the cyber domain.
C051;Target Development;S0256;Skill in providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships.
C053;Technology Awareness;K0431;Knowledge of evolving/emerging communications technologies.
C054;Telecommunications;K0108;Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless).
C054;Telecommunications;K0445;Knowledge of how modern digital and telephony networks impact cyber operations.
C054;Telecommunications;K0446;Knowledge of how modern wireless communications systems impact cyber operations.
C054;Telecommunications;K0556;Knowledge of telecommunications fundamentals.
C054;Telecommunications;K0560;Knowledge of the basic structure, architecture, and design of modern communication networks.
C054;Telecommunications;K0614;Knowledge of wireless technologies (e.g., cellular, satellite, GSM) to include the basic structure, architecture, and design of modern wireless communications systems.
C055;Threat Analysis;K0177;Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks).
C055;Threat Analysis;K0362;Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.).
C055;Threat Analysis;K0469;Knowledge of internal tactics to anticipate and/or emulate threat capabilities and actions.
C055;Threat Analysis;K0480;Knowledge of malware.
C055;Threat Analysis;K0603;Knowledge of the ways in which targets or threats use the Internet.
C055;Threat Analysis;K0604;Knowledge of threat and/or target systems.
C055;Threat Analysis;K0612;Knowledge of what constitutes a “threat” to a network.
C055;Threat Analysis;S0229;Skill in identifying cyber threats which may jeopardize organization and/or partner interests.
C055;Threat Analysis;A0107;Ability to think like threat actors.
C057;Vulnerabilities Assessment;K0005;Knowledge of cyber threats and vulnerabilities. 
C057;Vulnerabilities Assessment;K0006;Knowledge of specific operational impacts of cybersecurity lapses.
C057;Vulnerabilities Assessment;K0392;Knowledge of common computer/network infections (virus, Trojan, etc.) and methods of infection (ports, attachments, etc.).
C058;Web Technology;K0349;Knowledge of website types, administration, functions, and content management system (CMS).
C058;Web Technology;K0444;Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP).
C058;Web Technology;S0289;Skill in using multiple search engines (e.g., Google, Yahoo, LexisNexis, DataStar) and tools in conducting open-source searches.
C002;Business Continuity;S0201;Skill in creating plans in support of remote operations. (i.e., hot/warm/cold/alternative sites, disaster recovery).
C030;Legal, Government, and Jurisprudence;K0003;Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. 
C030;Legal, Government, and Jurisprudence;K0351;Knowledge of applicable statutes, laws, regulations and policies governing cyber targeting and exploitation.
C037;Organizational Awareness;K0509;Knowledge of organizational and partner authorities, responsibilities, and contributions to achieving objectives.
C037;Organizational Awareness;K0510;Knowledge of organizational and partner policies, tools, capabilities, and procedures.
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C044;Risk Management;K0376;Knowledge of internal and external customers and partner organizations, including information needs, objectives, structure, capabilities, etc.
C044;Risk Management;K0379;Knowledge of client organizations, including information needs, objectives, structure, capabilities, etc.
C028;Interpersonal Skills;A0074;Ability to collaborate effectively with others.
C039;Presenting Effectively;A0013;Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means. 
C060;Written Communication;S0300;Skill in writing (and submitting) requirements to meet gaps in technical capabilities.
C004;Collection Operations;K0371;Knowledge of principles of the collection development processes (e.g., Dialed Number Recognition, Social Network Analysis).
C004;Collection Operations;K0557;Knowledge of terminal or environmental collection (process, objectives, organization, targets, etc.).
C004;Collection Operations;S0260;Skill in recognizing midpoint opportunities and essential information.
C005;Computer Forensics;K0447;Knowledge of how to collect, view, and identify essential information on targets of interest from metadata (e.g., email, http).
C006;Computer Languages;K0529;Knowledge of scripting
C006;Computer Languages;S0239;Skill in interpreting compiled and interpretive programming languages.
C007;Computer Network Defense;K0473;Knowledge of intrusion sets.
C007;Computer Network Defense;S0258;Skill in recognizing and interpreting malicious network activity in traffic.
C008;Computers and Electronics;K0109;Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage).
C012;Data Analysis;A0084;Ability to evaluate, analyze, and synthesize large quantities of data (which may be fragmented and contradictory) into high quality, fused targeting/intelligence products.
C013;Data Management;K0142;Knowledge of collection management processes, capabilities, and limitations.
C013;Data Management;K0418;Knowledge of data flow process for terminal or environment collection.
C013;Data Management;K0484;Knowledge of midpoint collection (process, objectives, organization, targets, etc.).
C013;Data Management;S0200;Skill in creating collection requirements in support of data acquisition activities.
C013;Data Management;S0240;Skill in interpreting metadata and content as applied by collection systems.
C013;Data Management;A0066;Ability to accurately and completely source all data used in intelligence, assessment and/or planning products.
C016;Database Management Systems;K0394;Knowledge of common reporting databases and tools. 
C016;Database Management Systems;S0286;Skill in using databases to identify target-relevant information.
C023;Information Management;K0354;Knowledge of relevant reporting and dissemination procedures.
C023;Information Management;K0451;Knowledge of identification and reporting processes.
C024;Information Systems/Network Security;K0004;Knowledge of cybersecurity and privacy principles.
C024;Information Systems/Network Security;K0487;Knowledge of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection).
C025;Information Technology Assessment;S0066;Skill in identifying gaps in technical capabilities.
C026;Infrastructure Design;K0001;Knowledge of computer networking concepts and protocols, and network security methodologies. 
C026;Infrastructure Design;K0417;Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media).
C026;Infrastructure Design;K0443;WITHDRAWN: Knowledge of how hubs, switches, routers work together in the design of a network. (See K0143)
C026;Infrastructure Design;K0470;Knowledge of Internet and routing protocols.
C026;Infrastructure Design;K0471;Knowledge of Internet network addressing (IP addresses, classless inter-domain routing, TCP/UDP port numbering).
C026;Infrastructure Design;K0489;Knowledge of network topology.
C026;Infrastructure Design;S0236;Skill in identifying the devices that work at each level of protocol models.
C027;Intelligence Analysis;K0544;Knowledge of target intelligence gathering and operational preparation techniques and life cycles.
C027;Intelligence Analysis;S0214;Skill in evaluating accesses for intelligence value.
C027;Intelligence Analysis;S0247;Skill in performing data fusion from existing intelligence for enabling new and continued collection.
C027;Intelligence Analysis;S0264;Skill in recognizing technical information that may be used for leads to enable remote operations (data includes users, passwords, email addresses, IP ranges of the target, frequency in DNI behavior, mail servers, domain servers, SMTP header information).
C033;Network Management;K0143;Knowledge of front-end collection systems, including traffic collection, filtering, and selection.
C033;Network Management;K0393;Knowledge of common networking devices and their configurations.
C033;Network Management;S0184;Skill in analyzing traffic to identify network devices.
C033;Network Management;S0204;Skill in depicting source or collateral data on a network map.
C033;Network Management;S0207;Skill in determining the effect of various router and firewall configurations on traffic patterns and network performance in both LAN and WAN environments.
C033;Network Management;S0245;Skill in navigating network visualization software.
C033;Network Management;S0294;Skill in using trace route tools and interpreting the results as they apply to network analysis and reconstruction.
C034;Operating Systems;K0397;Knowledge of security concepts in operating systems (e.g., Linux, Unix.)
C034;Operating Systems;K0608;Knowledge of Unix/Linux and Windows operating systems structures and internals (e.g., process management, directory structure, installed applications).
C035;Operations Support;S0223;Skill in generating operation plans in support of mission and target requirements.
C035;Operations Support;S0290;Skill in using non-attributable networks.
C035;Operations Support;A0104;Ability to select the appropriate implant to achieve operational goals.
C040;Problem Solving;A0080;Ability to develop or recommend analytic approaches or solutions to problems and situations for which information is incomplete or for which no precedent exists.
C045;Software Development;K0559;Knowledge of the basic structure, architecture, and design of converged applications.
C048;System Administration;K0224;Knowledge of system administration concepts for operating systems such as but not limited to Unix/Linux, IOS, Android, and Windows operating systems.
C051;Target Development;K0535;Knowledge of strategies and tools for target research.
C051;Target Development;S0237;Skill in identifying, locating, and tracking targets via geospatial analysis techniques
C051;Target Development;S0279;Skill in target development in direct support of collection operations.
C051;Target Development;A0086;Ability to expand network access by conducting target analysis and collection to identify targets of interest.
C051;Target Development;A0093;Ability to identify/describe techniques/methods for conducting technical exploitation of the target.
C053;Technology Awareness;K0523;Knowledge of products and nomenclature of major vendors (e.g., security suites - Trend Micro, Symantec, McAfee, Outpost, and Panda) and how those products affect exploitation and reduce vulnerabilities.
C054;Telecommunications;K0108;Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless).
C054;Telecommunications;K0560;Knowledge of the basic structure, architecture, and design of modern communication networks.
C055;Threat Analysis;K0177;Knowledge of cyber attack stages (e.g., reconnaissance, scanning, enumeration, gaining access, escalation of privileges, maintaining access, network exploitation, covering tracks).
C055;Threat Analysis;K0362;Knowledge of attack methods and techniques (DDoS, brute force, spoofing, etc.).
C055;Threat Analysis;K0368;Knowledge of implants that enable cyber collection and/or preparation activities.
C055;Threat Analysis;K0430;Knowledge of evasion strategies and techniques.
C057;Vulnerabilities Assessment;K0005;Knowledge of cyber threats and vulnerabilities. 
C057;Vulnerabilities Assessment;K0006;Knowledge of specific operational impacts of cybersecurity lapses.
C057;Vulnerabilities Assessment;S0199;Skill in creating and extracting important information from packet captures.
C057;Vulnerabilities Assessment;S0269;Skill in researching vulnerabilities and exploits utilized in traffic.
C057;Vulnerabilities Assessment;A0092;Ability to identify/describe target vulnerability.
C058;Web Technology;K0131;Knowledge of web mail collection, searching/analyzing techniques, tools, and cookies.
C058;Web Technology;K0349;Knowledge of website types, administration, functions, and content management system (CMS).
C058;Web Technology;K0388;Knowledge of collection searching/analyzing techniques and tools for chat/buddy list, emerging technologies, VOIP, Media Over IP, VPN, VSAT/wireless, web mail and cookies.
C058;Web Technology;K0444;Knowledge of how Internet applications work (SMTP email, web-based email, chat clients, VOIP).
C003;Client Relationship Management;S0244;Skill in managing client relationships, including determining client needs/requirements, managing client expectations, and demonstrating commitment to delivering quality results.
C030;Legal, Government, and Jurisprudence;K0003;Knowledge of laws, regulations, policies, and ethics as they relate to cybersecurity and privacy. 
C030;Legal, Government, and Jurisprudence;K0524;Knowledge of relevant laws, regulations, and policies.
C030;Legal, Government, and Jurisprudence;S0193;Skill in complying with the legal restrictions for targeted information.
C037;Organizational Awareness;K0579;Knowledge of the organization, roles and responsibilities of higher, lower and adjacent sub-elements.
C044;Risk Management;K0002;Knowledge of risk management processes (e.g., methods for assessing and mitigating risk).
C056;Third Party Oversight/Acquisition Management;K0596;Knowledge of the request for information process. 
C028;Interpersonal Skills;A0089;Ability to function in a collaborative environment, seeking continuous consultation with other analysts and experts—both internal and external to the organization—to leverage analytical and technical expertise.
C039;Presenting Effectively;A0013;Ability to communicate complex information, concepts, or ideas in a confident and well-organized manner through verbal, written, and/or visual means. 
C060;Written Communication;K0606;Knowledge of transcript development processes and techniques (e.g., verbatim, gist, summaries).
C005;Computer Forensics;K0449;Knowledge of how to extract, analyze, and use metadata.
C007;Computer Network Defense;K0493;Knowledge of obfuscation techniques (e.g., TOR/Onion/anonymizers, VPN/VPS, encryption).
C012;Data Analysis;K0356;Knowledge of analytic tools and techniques for language, voice and/or graphic material.
C012;Data Analysis;S0187;"Skill in applying various analytical methods, tools, and techniques (e.g., competing hypotheses; chain of reasoning; scenario methods; denial and deception detection; high impact-low probability; network/association or link analysis; Bayesian, Delphi, and Pattern analyses)."
C012;Data Analysis;S0195;Skill in conducting research using all available sources.
C012;Data Analysis;S0198;Skill in conducting social network analysis.
C012;Data Analysis;S0218;Skill in evaluating information for reliability, validity, and relevance.
C012;Data Analysis;S0277;Skill in synthesizing, analyzing, and prioritizing meaning across data sets.
C013;Data Management;K0377;Knowledge of classification and control markings standards, policies and procedures.
C013;Data Management;K0391;Knowledge of collection systems, capabilities, and processes. 
C013;Data Management;K0567;Knowledge of the data flow from collection origin to repositories and tools. 
C013;Data Management;S0215;Skill in evaluating and interpreting metadata.
C013;Data Management;S0217;Skill in evaluating data sources for relevance, reliability, and objectivity.
C023;Information Management;K0462;Knowledge of intelligence reporting principles, policies, procedures, and vehicles, including report formats, reportability criteria (requirements and priorities), dissemination practices, and legal authorities and restrictions.
C024;Information Systems/Network Security;K0004;Knowledge of cybersecurity and privacy principles.
C024;Information Systems/Network Security;K0487;Knowledge of network security (e.g., encryption, firewalls, authentication, honey pots, perimeter protection).
C024;Information Systems/Network Security;K0488;Knowledge of network security implementations (e.g., host-based IDS, IPS, access control lists), including their function and placement in a network.
C025;Information Technology Assessment;S0179;Skill in analyzing language processing tools to provide feedback to enhance tool development.
C026;Infrastructure Design;K0001;Knowledge of computer networking concepts and protocols, and network security methodologies. 
C026;Infrastructure Design;K0417;Knowledge of data communications terminology (e.g., networking protocols, Ethernet, IP, encryption, optical devices, removable media).
C026;Infrastructure Design;K0491;Knowledge of networking and Internet communications fundamentals (i.e. devices, device configuration, hardware, software, applications, ports/protocols, addressing, network architecture and infrastructure, routing, operating systems, etc.). 
C027;Intelligence Analysis;K0359;Knowledge of approved intelligence dissemination processes.
C027;Intelligence Analysis;K0532;Knowledge of specialized target language (e.g., acronyms, jargon, technical terminology, code words).
C027;Intelligence Analysis;K0550;Knowledge of target, including related current events, communication profile, actors, and history (language, culture) and/or frame of reference.
C027;Intelligence Analysis;K0571;Knowledge of the feedback cycle in collection processes.
C027;Intelligence Analysis;S0210;Skill in developing intelligence reports.
C027;Intelligence Analysis;S0212;Skill in disseminating items of highest intelligence value in a timely manner.
C027;Intelligence Analysis;S0232;Skill in identifying intelligence gaps and limitations.
C027;Intelligence Analysis;S0233;Skill in identifying language issues that may have an impact on organization objectives.
