KSAID,Description,Withdrawn?,CISSP,ISSAP,ISSEP,ISSMP,SSCP,CAP,CSSLP,HCISPP,CCSP
K0012,Knowledge of capabilities and requirements analysis.,,"1.9.2, 8.3.2","2,1","3.1, 3.2","1, 2",3.1.2, ,8.3.8,6,"3.5.2, 4.2.1, 5.1, 6.1, 6.2.4, 6.3.12, 6.5.1"
K0013,Knowledge of cyber defense and vulnerability assessment tools and their capabilities.,,"6,2","1, 2, 3, 4, 5, 6",3.5.1,"2.3, 3.1.6, 3.2","3.2, 7.1.2","7,3","3.4, 8.3.5","5.2.5, 6.1.7, 6.2, 6.3.7",5.3.7
K0014,Knowledge of complex data structures.,,2.1.1, , ,"2,2",2.4.4, ,2.2.3, ,"2,4"
K0015,Knowledge of computer algorithms.,,3.9.1,"3.6, 6.1, 6.4", ,"2,2",5.1.5, ,4.1.14, ,4.6.2
K0016,Knowledge of computer programming principles ,,8.1.1,6, ,"2,2", , ,"4,1", ,"4.2, 4.3"
K0017,Knowledge of concepts and practices of processing digital forensic data.,,7.1.4, , ,"2,2","4,2", ,7.8.1,6,"5,5"
K0018,Knowledge of encryption algorithms ,,"3,9","3.6, 6.1, 6.4", ,"2,2",5.1.5, ,4.1.14,5.2.2,"1.3.1, 2.3.1, 4.6.2"
K0019,Knowledge of cryptography and cryptographic key management concepts ,,"3.9, 3.9.1","3.6, 6.1, 6.4", ,"2,2","5.1, 5.4.1", ,4.1.14,6,"1.3.1, 2.3.1"
K0020,Knowledge of data administration and data standardization policies.,,"1.6, 2", , ,"2,2",2, ,"2,2","2,3","1.5.1, 2.7"
K0021,Knowledge of data backup and recovery.,,"7,11","2,3", ,5,7.3.5,4,2.2.4,"5.2.9, 5.2.10",2.3.5
K0022,Knowledge of data mining and data warehousing principles.,,3.5.3,"4,3", ,"2, 5",3.2.1, , ,6,2
K0023,"Knowledge of database management systems, query languages, table relationships, and views.",,3.5.3,"6,6", ,"2,2",3.2.1, , ,6, 
K0024,Knowledge of database systems.,,3.5.3,"6,6", ,"2,2",3.2.1, , ,6,"1.1.4, 4.6.1"
K0025,Knowledge of digital rights management.,,3.9.9,1.2.5, ,6.1.4, , , ,6,"2.6, 3.1.6"
K0026,Knowledge of business continuity and disaster recovery continuity of operations plans.,,6.3.6,"2,3", ,5,"4,3",4,"7,1","5.2.8, 5.2.9, 5.2.10","1.4.2, 3.5 "
K0027,Knowledge of organization's enterprise information security architecture.,,"3,1","1, 2, 3, 5, 6",3.1.2,"2,2",6,"1.1, 1.1.4, 2.1.1, 2.1.2,2.1.3","6,9",6,"1.3, 1.4"
K0028,Knowledge of organization's evaluation and validation requirements.,,"6,2","2.5.3, 4.2.1, 5.2, 6.5","3,5","1, 2","3,2","3, 4","6,2",6,"4,4"
K0029,Knowledge of organization's Local and Wide Area Network connections.,,4.2.2,"2,7",3.2.1,"2,2",6,"1.1.4, 2.1, 2.1.2, 2.1.3","3,2",6,"1.1.4, 1.3.4, 3.1.2, 5.2.2, 5.3.7"
K0030,"Knowledge of electrical engineering as applied to computer architecture (e.g., circuit boards, processors, chips, and computer hardware).",,4.2.1,"1, 2, 3, 5","3,3","2,2", , ,3.2.9, , 
K0031,Knowledge of enterprise messaging systems and associated software.,,"3,5","2.7, 3.3", , , ,4,3.2.2,6, 
K0032,Knowledge of resiliency and redundancy.,,"3.1, 4.1",2.3.3,"1,3",5,"7.3.5, 7.4.4",4,"3,10",6,3
K0033,"Knowledge of host/network access control mechanisms (e.g., access control list, capabilities lists).",,4.2.3,"1.2, 2.7", ,2,"6.3, 7.2",4,"3,2","5.2.1, 5.3.4","1.3.2, 1.3.4, 2.6.1, 5.3"
K0034,Knowledge of network services and protocols interactions that provide network communications.,,"4,1","2,7", ,"2,2","6,1",4,"3,2",6,"1.3.4, 3.1.2"
K0035,"Knowledge of installation, integration, and optimization of system components.",,"3.2, 3.3","2, 5, 6","3,4","2.1, 2.2",6.5.4,4,"7,4",5.4.2,5
K0036,Knowledge of human-computer interaction principles.,,6.2.8, , , , ,4, , ,5.3.1
K0037,Knowledge of Security Assessment and Authorization process.,,"6.1, 6.2, 6.3",4,"3,5","1.2.3, 2.1","2.4, 2.3, 3.2","1,2,3,4,5,6,7",1.1.5,"2.3.3, 6.2, 6.3.7","6,3"
K0038,"Knowledge of cybersecurity and privacy principles used to manage risks related to the use, processing, storage, and transmission of information or data.",,"1,1","1, 2, 3, 4, 5, 6",3," 1.7.2, 2.3.4, 3","1, 2, 3, 6, 7 ","1.2.1, 1.2.2, ","2,3","4.3, 6, 7.2.2","2.2, 2.8.2, 3.1.5, 6.2"
K0039,Knowledge of cybersecurity and privacy principles and methods that apply to software development.,,"8,1","1, 6", ,"1.3.5, 2.1, 6.1.1","2.4, 2.6.3, 7.1","1.2.1, 1.2.2.","2,3","4,3",4
K0040,"Knowledge of vulnerability information dissemination sources (e.g., alerts, advisories, errata, and bulletins).",,"6.2.1, 6.2.3","4,2","1,4",4,"3,2",4.1.3,"7,9","5.2.5, 6.1.7","4.3.1, 5.3.7"
K0041,"Knowledge of incident categories, incident responses, and timelines for responses.",,"7,7","2,6",4.1.2,4,4,"3.4, 5.2.2, 7.3","7,8","5.2.5, 5.3.12, 6.5.2, 7.7","5.4.5, 5.7.4"
K0042,Knowledge of incident response and handling methodologies.,,7.7.2,"2,6","2.2.2, 4.1.3",4,4,"3.4, 5.2.2, 7.3","7,8","5.2.5, 5.3.12, 7.7","5.4.5, 5.7.4"
K0043,Knowledge of industry-standard and organizationally accepted analysis principles and methods.,,"4,1","2.2, 4.2", ,"1, 4","3.1, 3.2, 3.3, 3.4", ,6.9.3,"2.3.2, 7",1.5.1
K0044,"Knowledge of cybersecurity and privacy principles and organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation).",,"1,1","1, 2, 3, 4, 5, 6", ,1,"2,2","1.2.1, 1.2.2, 2.2.2","1,1","3.1.1, 4.3","1.3, 1.4, 2.8"
K0045,Knowledge of information security systems engineering principles (NIST SP 800-160).,,"3,1","2, 3, 5, 6",5,1.3.5,"2, 6, 7.2, 7.3, 7.4", ,6.9.3, ,1
K0046,Knowledge of intrusion detection methodologies and techniques for detecting host and network-based intrusions.,,7.3.1,2.2.1, ,"2.2, 4","6.5, 7.2","7,3","7,8", ,"5.3.7, 5.7.2"
K0047,Knowledge of information technology (IT) architectural concepts and frameworks.,,1.2.4,5.1.2,"3,3","1.4, 2.2, 6.3","3, 3.1.3, 6.1", ,6.9.3,"4,3","1, 2.2"
K0048,Knowledge of Risk Management Framework (RMF) requirements.,,1.9.11,5.1.2, ,"1.4, 6.3","3, 3.1.3","1,2,3,4,5,6,7",6.9.4,"4.3, 6.2, 6.4","6,4"
K0049,"Knowledge of information technology (IT) security principles and methods (e.g., firewalls, demilitarized zones, encryption). ",,"4,2","1, 2, 3, 5, 6", ,"1.3.5, 2.2","3.3, 6.1, 6.5.4 ","1.1.4, 2.1, 2.1.1, 2.1.2, 2.1.3","3,2",5.2.2,"1.3.1, 1.3.4,  2.3.1, 4.6.1, 5.3.7"
K0050,Knowledge of local area and wide area networking principles and concepts including bandwidth management.,,"4,2","2,7", ,"2,2","6, 6.5.4, 6.6", ,3.2.1, ,"3.1.2, 3.1.6, 5.3"
K0051,"Knowledge of low-level computer languages (e.g., assembly languages).",,"8,5", , , , , ,3.7.7, , 
K0052,"Knowledge of mathematics (e.g. logarithms, trigonometry, linear algebra, calculus, statistics, and operational analysis).",,"3,9", , , , , , , , 
K0053,Knowledge of measures or indicators of system performance and availability.,,7.5.6,"2,4", ,1,"2.2.3, 6.5",7,5.2.2,6,"1.2.5, 5.3.4"
K0054,"Knowledge of current industry methods for evaluating, implementing, and disseminating information technology (IT) security assessment, monitoring, detection, and remediation tools and procedures utilizing standards-based concepts and capabilities.",,7.3.1,"2, 3, 4", ,"1, 2.3, 3.1.6, 3.2","2.4, 2.3, 3, 3.2, 6, 7","1,2,3,4,5,6,7",5.2.3,"2.3.2, 2.3.3,  5.2.4, 6.2, 6.3.7","1.5.1, 5"
K0055,Knowledge of microprocessors.,,"3,5",2, ,"1, 2", , ,3.2.9, ,5.1.3
K0056,"Knowledge of network access, identity, and access management (e.g., public key infrastructure, Oauth, OpenID, SAML, SPML).",,"5,2",1.1.5, ,"1, 2","5.4, 6.3, ", ,1.1.4,"5.2.1, 5.3.4","1.3.1, 1.3.2, 1.3.4, 2.3.1, 2.6.1, 4.7"
K0057,Knowledge of network hardware devices and functions.,,"4,1","2,7", ,"2,2","6.4, 6.5, 7.2","1.1.4, 2.1, 2.1.1, 2.1.2, 2.1.3, 4",3.2.9,6,"1.3.4, 3.1.2"
K0058,Knowledge of network traffic analysis methods.,,"7,1","2.2, 2.7", ,"2.2, 2.3, 3.1.6, 3.2",6.5.4, , , ,"1.3.4, 2.8.2, 3.4.5"
K0059,Knowledge of new and emerging information technology (IT) and cybersecurity technologies.,,"1,1","1, 2, 3, 5, 6", ,"2,2","5, 6, 7,", , , ,"1, 2, 3, 4, 5"
K0060,Knowledge of operating systems.,,"3,5",6, ,"2,2", , ,3.7.8, ,"5.1.4, 5.2.3, 5.3.2 5.3.6 "
K0061,"Knowledge of how traffic flows across the network (e.g., Transmission Control Protocol [TCP] and Internet Protocol [IP], Open System Interconnection Model [OSI], Information Technology Infrastructure Library, current version [ITIL]).",,4.1.1,"2, 3", ,"2,2",6.1.1, , ,"1.3.1, 3.3, 7.2.2","1.3.4, 5.4"
K0062,Knowledge of packet-level analysis.,,4.1.2,"2, 3", ,"2.3, 3.1.6, 3.2","4.1.2, 6.5", , , ,"2.8.2, 3.4.5"
K0063,Knowledge of parallel and distributed computing concepts.,,3.5.7,2.7.3, ,"2,2", , ,3.2.2, ,"1, 3, 5"
K0064,Knowledge of performance tuning tools and techniques.,,"7,3", , ,"1, 2", , ,5.2.2, ,"1.2.5, 5.3.4"
K0065,Knowledge of policy-based and risk adaptive access controls.,,"5,4",1.2.6, ," 1.7.2, 2.3.4, 3","1, 1.4","3, 3.1, 3.2",6.9.4,"2.3, 5.2.1, 5.3.4, 6.1.9, 6.2, 6.4","1.3.2, 2.6.1, 2.7, 5.2.1"
K0066,Knowledge of Privacy Impact Assessments.,,1.4.5, , ,"3, 4","3,1",1.2.2,"2,3","4.3.1, 5.3, 6.2, 6.3.7","6,2"
K0067,Knowledge of process engineering concepts.,,"3,1", , ,2, , ,"4,8", ,"1, 3"
K0068,Knowledge of programming language structures and logic.,,8.1.1,6, , , , ,3.7.7, , 
K0069,Knowledge of query languages such as SQL (structured query language).,,3.5.3, , , , , ,3.7.6, , 
K0070,"Knowledge of system and application security threats and vulnerabilities (e.g., buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code).",,"6.1, 6.2","6,5", ,"2.3, 3.2",7,"4,1",3.7.6,"6.1.6, 6.1.7","1.3.6, 3.3.2"
K0071,Knowledge of remote access technology concepts.,,4.3.3,2.7.5, ,"2,2", ,"4,1",3.2.4,"5.2.1, 5.3.4","1.3.2, 2.6.1, 5.3.1"
K0072,Knowledge of resource management principles and techniques.,,"7,4", , ,1, , , , ,"5,4"
K0073,"Knowledge of secure configuration management techniques. (e.g., Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurity.org).",,1.2.4,5.1.4, ,2.1.3,"3.2, 3.1.3","4.1.3, 7.1.1",6.9.3,"6.2, 6.7",5.4.9
K0074,"Knowledge of key concepts in security management (e.g., Release Management, Patch Management).",,"7,1", ,"1.1, 5","2,1","2.4, 2.5, 2.6","4,1","7,9",6,"1.3.4, 5.4"
K0075,"Knowledge of security system design tools, methods, and techniques.",,"3,1","1, 2, 3, 4, 5, 6","3,3",1.3.5,"3.2, 3.3", ,"5,2", ,"2.3, 3.4"
K0076,"Knowledge of server administration and systems engineering theories, concepts, and methods.",,"3,5","1, 2, 3, 5, 6",5,2, , ,3.2.2,6,"1.2, 1.3, 3, 5"
K0077,Knowledge of server and client operating systems.,,"3.5.1, 3.5.2","2, 6", ,"2,2", , ,3.2.2, ,"5.2.3, 5.2.6"
K0078,Knowledge of server diagnostic tools and fault identification techniques.,,"3.5.1, 3.5.2",2.7.1, ,"2,2", ,"4, 7",1.2.11,6,"5.2.5, 5.3"
K0079,Knowledge of software debugging principles.,,"8,3",6, ,"2,2","2.6.3, 7.1.2", ,"4,9", ,"4,4"
K0080,"Knowledge of software design tools, methods, and techniques.",,8.1.1,6, ,"2,2","2.4, 2.6.3", ,"3,10", ,4
K0081,"Knowledge of software development models (e.g., Waterfall Model, Spiral Model).",,8.1.1,6, ,1.10.,"2,4", ,"6,3", ,4
K0082,Knowledge of software engineering.,,8.1.1,6, ,2,"2.4, 7.1.2", ,"1,2", ,4
K0083,"Knowledge of sources, characteristics, and uses of the organization’s data assets.",,"2,1","2, 3, 4, 5, 6", ,"1,4", , ,"3,6",1.3.2,2
K0084,Knowledge of structured analysis principles and methods.,,"6,1", , ,"1, 2, 3, 4","4.1.2, 6.5", ,"1,2", ,"2,4"
K0085,WITHDRAWN: Knowledge of system and application security threats and vulnerabilities. (See K0070),X, ,X,X,X,X, , ,"6.1.6, 6.1.7",X
K0086,"Knowledge of system design tools, methods, and techniques, including automated systems analysis and design tools.",,"3,8","1, 2, 3, 4, 5, 6","3,3","1.3.5, 2","4.1.2, 6.5", ,3.2.1, ,"2.3, 3.4"
K0087,"Knowledge of system software and organizational design standards, policies, and authorized approaches (e.g., International Organization for Standardization [ISO] guidelines) relating to system design.",,"1.2.4, 1.9.11",4, ,"1.3.5, 1.4","2.4, 3.1.3", ,6.9.3,"2.3, 4.3.2","1.5.1, 2.7, 4"
K0088,Knowledge of systems administration concepts.,,"3,5",2, ,2,2, , , ,"5.1.4, 5.2.3, 5.3.2 5.3.6 "
K0089,Knowledge of systems diagnostic tools and fault identification techniques.,,"7.8, 7.13",2.7.1, ,"2, 5", ,"4, 7",1.2.11, ,"5.2.5, 5.3"
K0090,"Knowledge of system life cycle management principles, including software security and usability.",,"7.5.5, 8.1","6,1", ,2,"2,4",1.1.3,"6,2","1.3.1, 3.2","1.4.1, 2.1.1, 4"
K0091,Knowledge of systems testing and evaluation methods.,,"6,1","2.5.3, 4.2.1, 5.2.4, 6.5", ,"2.3, 3.1.6, 3.2", ,"4.2.3, 5.1.5, 5.2.1", , ,"3, 4.4.2, 5"
K0092,Knowledge of technology integration processes.,,"3,1","6,1","3,4","2.1, 2.2","2,6", ,"4,7","2.3.3, 5.4.2","2.2, 5.1"
K0093,"Knowledge of telecommunications concepts (e.g., Communications channel, Systems Link Budgeting, Spectral efficiency, Multiplexing).",,4.2.2,"2, 3", ,"2,2", , , ,6,"1.1, 1.2, 3.1, 4.6 "
K0094,"Knowledge of the capabilities and functionality associated with content creation technologies (e.g., wikis, social networking, content management systems, blogs).",,"3,6",2.2.2, ,"2,2", , , ,6,"1.1, 1.2, 3.1, 4.6 "
K0095,"Knowledge of the capabilities and functionality associated with various technologies for organizing and managing information (e.g., databases, bookmarking engines).",,3.5.3,"6,6", ,"2,2",3.2.1, ,3.7.6,6,2
K0096,"Knowledge of the capabilities and functionality of various collaborative technologies (e.g., groupware, SharePoint).",,3.5.2,"3,3", ,"2,2", , ,3.2.2,6,"1.1, 1.2, 3.1, 4.6 "
K0097,Knowledge of the characteristics of physical and virtual data storage media.,,7.11.1,"4,3", ,"2,2", , ,"3,9","1.3.2, 7.2.2","2.2, 2.8.2, 3.1.4, 3.1.5"
K0098,Knowledge of the cyber defense Service Provider reporting structure and processes within one’s own organization.,,7.8.4,"2,6", ,"1.6.3, 1.7, 3.2.6, 4.2.7, 6.3.4", ,7, ,"2.3.3, 6.6.5","5.4.5, 5.7.4"
K0099,"WITHDRAWN: Knowledge of the common networking protocols (e.g., TCP/IP), services (e.g., web, mail, Domain Name Server), and how they interact to provide network communications.",X, ,X, ,X,X, , , ,X
K0100,Knowledge of the enterprise information technology (IT) architecture.,,"3,5","1, 2, 3, 5, 6","3,3","2,2",6,"1.1.4, 2.1, 2.1.1, 2.1.2, 2.1.3", ,6,"1, 2, 3, 4, 5"
K0101,Knowledge of the organization’s enterprise information technology (IT) goals and objectives.,,1.2.1,"2, 3, 4, 5, 6", ,"1, 2, 5", ,1.1.1, ,6,"1, 2, 3, 4, 5"
K0102,Knowledge of the systems engineering process.,,"3,1","2, 3, 4, 5, 6",5,2, , ,"2.1, 2.2",6,"1, 2, 3, 4, 5"
K0103,Knowledge of the type and frequency of routine hardware maintenance.,,4.2.1,2.7.1, ,5, , , ,6,"5,3"
K0104,Knowledge of Virtual Private Network (VPN) security.,,"4,3",2.7.3, ,"2,2","5, 6.3", , ,6,"1.3.4, 3.1.4, 5.2.2"
K0105,"Knowledge of web services (e.g., service-oriented architecture, Simple Object Access Protocol, and web service description language).",,"3,6",6, ,"2,2", , ,3.2.3,6,"2.6, 4.6.1"
K0106,Knowledge of what constitutes a network attack and a network attack’s relationship to both threats and vulnerabilities.,,"7,7","2, 3, 4.2", ,"4,1","6,2","7,3", ,"6.1.6, 6.1.7","1.3.4, 1.3.6, 3.3.3"
K0107,"Knowledge of Insider Threat investigations, reporting, investigative tools and laws/regulations.",,"7,1","2,2", ,"4,2", ,"7,3","7,8","3.1.1, 4.2.2, 6.1.6, 6.2, 6.6.5","1.3.6, 1.5.1, 6"
K0108,"Knowledge of concepts, terminology, and operations of a wide range of communications media (computer and telephone networks, satellite, fiber, wireless).",,4.3.4,"2,7", ,"2,2","6.1, 6.6",4,3.2.5,6,"1, 2, 3, 4, 5"
K0109,"Knowledge of physical computer components and architectures, including the functions of various components and peripherals (e.g., CPUs, Network Interface Cards, data storage).",,"4,1","2,7","3,3","2,2", , ,3.2.9,"6, 7.2.2","1, 2, 3, 4, 5"
K0110,"Knowledge of adversarial tactics, techniques, and procedures.",,1.10, , ,"4,1", , , ,2.3.3,"3,3"
K0111,"Knowledge of network tools (e.g., ping, traceroute, nslookup) ",,4.1.2,"2,7", ,"2,2", , , ,6,"1.3.4, 3.1.2"
K0112,Knowledge of defense-in-depth principles and network security architecture.,,"4,1","2, 3",1.3.2,"1.9, 2.2","6,4","1.1.4, 2.1, 2.1.1, 2.1.2, 2.1.3",1.2.3,6,"1, 2, 3, 4, 5"
K0113,"Knowledge of different types of network communication (e.g., LAN, WAN, MAN, WLAN, WWAN).",,4.2.2,"2,7", ,"2,2", ,"1.1.4, 2, 2.1.1, 2.1.2, 2.1.3",3.2.5,6,"1.3.4, 3.1.2"
K0114,"Knowledge of electronic devices (e.g., computer systems/components, access control devices, digital cameras, digital scanners, electronic organizers, hard drives, memory cards, modems, network components, networked appliances, networked home control devices, printers, removable storage devices, telephones, copiers, facsimile machines, etc.).",,2.1.2,"1, 2, 3", ,"2,2", ,4,3.2.5,"5.2.1, 5.3.4, 6, 7.2.2","1.1.4, 1.3.2, 1.3.4, 2.6.1, 2.8.2, 3.1.5, 5.3"
K0115,Knowledge that technology that can be exploited.,,"1,10","4.2, 6.5", ,"2,2", ,"1,2,3,4,5, 6,7","3,4",6,"3,3"
K0116,"Knowledge of file extensions (e.g., .dll, .bat, .zip, .pcap, .gzip).",,"3,5", , ,"2,2", , ,1.2.10,6,"2, 5.1.4, 5.2.3, 5.3.2 5.3.6 "
K0117,"Knowledge of file system implementations (e.g., New Technology File System [NTFS], File Allocation Table [FAT], File Extension [EXT]).",,"3,5", , ,"2,2", , , ,6,2
K0118,Knowledge of processes for seizing and preserving digital evidence.,,7.1.1, , ,6,4.2.2, ,"7,8","2.3.3, 6","5,5"
K0119,Knowledge of hacking methodologies.,,6.2.2, , ,"4,1","3.2, 7, 7.1.2", ,"5,1",6,3.1.2
K0120,"Knowledge of how information needs and collection requirements are translated, tracked, and prioritized across the extended enterprise.",,7.3.2, , , , , ,3.2.1,6, 
K0121,Knowledge of information security program management and project management principles and techniques.,,1.2.1, , ,"1.1, 1.9","1, 2",1.1.1, ,6,"3.1.6, 5.4"
K0122,"Knowledge of investigative implications of hardware, Operating Systems, and network technologies.",,"3.5, 4.1", , ,"4,2", ,"7,3","7,8",6,"1.3.4, 6.3"
K0123,Knowledge of legal governance related to admissibility (e.g. Rules of Evidence). ,,7.1.1, , ,6,"3.3.4, 4.2, 7.3.4", ,"7,8","2.1, 2.2, 2.3, 4.1, 4.2, 4.3","1.5.1, 5.5"
K0124,Knowledge of multiple cognitive domains and tools and methods applicable for learning in each domain.,,"1.2, 1.3, 1.4", , ,"1,6", , , ,"5.2.3, 5.3.7","1, 2, 3, 4, 5, 6"
K0125,"Knowledge of processes for collecting, packaging, transporting, and storing electronic evidence while maintaining chain of custody.",,7.1.1, , ,6,4.2.2, ,"7,8","2.3.3, 7.2.2","2.8.3, 5.5"
K0126,Knowledge of Supply Chain Risk Management Practices (NIST SP 800-161),,"1,11", ,5.1.3," 1.7.2, 2.3.4, 3, 3.2.3","3,1", ,6.9.3,"6.1.8, 6.3","4.5.2, 6.4, 6.5.4"
K0127,"Knowledge of the nature and function of the relevant information structure (e.g., National Information Infrastructure).",,"2.1, 2.2", , , , , , ,6,2
K0128,Knowledge of types and collection of persistent data.,, , , ,"1,42", , ,2.2.3,6, 
K0129,"Knowledge of command-line tools (e.g., mkdir, mv, ls, passwd, grep).",,"3.5.1, 3.5.2", , , , , , ,6,"5.1.4, 5.2.3, 5.3.2 5.3.6 "
K0130,Knowledge of virtualization technologies and virtual machine development and maintenance.,,3.5.6,"4,4", ,"2,2", , ,3.2.7,6,"1, 2, 3, 4, 5"
K0131,"Knowledge of web mail collection, searching/analyzing techniques, tools, and cookies.",,7.1.4, , , , , ,3.2.3,6, 
K0132,"Knowledge of which system files (e.g., log files, registry files, configuration files) contain relevant information and where to find those system files.",,7.1.3, , , , ,"3, 4", ,6,"2,8"
K0133,Knowledge of types of digital forensics data and how to recognize them.,,7.1.3, , , ,"4,2", ,"7,8",6,"5,5"
K0134,Knowledge of deployable forensics.,,7.1.4, , , ,"4,2", ,"7,8",6,"5,5"
K0135,Knowledge of web filtering technologies.,,"3,6",2.2.2, ,"2,2", , , ,6,4.6.1
K0136,"Knowledge of the capabilities of different electronic communication systems and methods (e.g., e-mail, VOIP, IM, web forums, Direct Video Broadcasts).",,"4,2","2, 3.3", ,"2,2", , , ,6,"1.1.4, 3.1.2"
K0137,"Knowledge of the range of existing networks (e.g., PBX, LANs, WANs, WIFI, SCADA).",,4.3.1,"2, 3, 5.1.3", , , , , ,6,3
K0138,Knowledge of Wi-Fi.,,4.1.6,"3,3", ,"2,2", , ,3.2.5,6,3
K0139,Knowledge of interpreted and compiled computer languages.,,8.1.1,6, , , , ,3.7.7, , 
K0140,Knowledge of secure coding techniques.,,8.5.3,6, , , , ,"4,1", ,"4,3"
K0141,WITHDRAWN: Integrated into K0420,X, ,X,X,X,X, , , ,X
K0142,"Knowledge of collection management processes, capabilities, and limitations.",,"7,8", , , , , , ,2.3.3,3.1.6
K0143,"Knowledge of front-end collection systems, including traffic collection, filtering, and selection.",,"7,8",2.2.1, , , , , , ,"5,7"
K0144,Knowledge of social dynamics of computer attackers in a global context.,,"1,10", , , ,7.1.3, , ,6,"3,3"
K0145,Knowledge of security event correlation tools.,,7.3.2,2.2.1, ,4,"4,1",4.1.3, ,5.3.12,"2.8, 5.4.5, 5.7"
K0146,Knowledge of the organization's core business/mission processes.,,1.2.1,"2.3, 4.2.1", ,1, ,"1,1", ,2.3.3,"3.5, 4.2"
K0147,"Knowledge of emerging security issues, risks, and vulnerabilities.",,"1.9.1, 3.5, 3.6, 3.7, 3.8, 8.5.1","2, 3, 4, 5, 6",3,"1.7.2, 2.3.4, 3","3, 6.2, 7",6.1.4,"6,9",6,"3.3, 3.5.1, 6.4"
K0148,Knowledge of import/export control regulations and responsible agencies for the purposes of reducing supply chain risk.,,"1,4",4,5.1.3," 1.7.2, 2.3.4, 3, 3.2.3", , ,"6,9",6.1.8,"1.5.1, 6"
K0149,Knowledge of organization's risk tolerance and/or risk management approach.,,"1,9","4, 4.2","2,1","1.7.2, 2.3.4, 3","3, 3.1",1,"6,9",6,"3.3, 3.5.1, 6.4"
K0150,"Knowledge of enterprise incident response program, roles, and responsibilities.",,"7,7","2,6","2.2.2, 4.1.3","4,2",4,"1.1.6,3.4, 5.2.2, 7.3","7,8","5.3.12, 6.5, 7.7","5.4.5, 5.7.4"
K0151,Knowledge of current and emerging threats/threat vectors.,,6.2.2,"4,2",3.1.4,"2, 3, 4","6.2, 7",6.1.4,"3,1","3.1.1, 6.1.6","1.3.6, 3.3, 3.5.1, 6.4"
K0152,"Knowledge of software related information technology (IT) security principles and methods (e.g., modularization, layering, abstraction, data hiding, simplicity/minimization).",,8.1.1,"1, 6", ,"2.1.2, 3.1.7","2.2, 7.2", ,"3,7", ,4
K0153,Knowledge of software quality assurance process.,,"8,1",6, ,"1, 2","2,4", ,"5,1","2.3.3, 5.3.5",4.3.3
K0154,"Knowledge of supply chain risk management standards, processes, and practices.",,"7.1, 7.2", ,5.1.3," 1.7.2, 2.3.4, 3, 3.2.3","2.4, 3.1", ,"8,1","2.3.2, 2.3.3, 6.1.8, 6.3","1.5.1, 6"
K0155,Knowledge of electronic evidence law.,,7.1.4,4.1.1, ,"4,2","4,2", ,"7,8",4.2.2,"1.5.1, 5.5.2"
