NICE Specialty Area;NICE Specialty Area Definition;;;
Targets (TGT);Applies current knowledge of one or more regions, countries, non-state entities, and/or technologies.;;;
;;;;
Language Analysis (LNG);Applies language, cultural, and technical expertise to support information collection, analysis, and other cybersecurity activities.;;;
Collection Operations (CLO);Executes collection using appropriate strategies and within the priorities established through the collection management process.;;;
;;;;
Cyber Operational Planning (OPL);Performs in-depth joint targeting and cybersecurity planning process. Gathers information and develops detailed Operational Plans and Orders supporting requirements. Conducts strategic and operational-level planning across the full range of operations for integrated information and cyberspace operations.;;;
;;;;
;;;;
Cyber Operations (OPS);Performs activities to gather evidence on criminal or foreign intelligence entities to mitigate possible or real-time threats, protect against espionage or insider threats, foreign sabotage, international terrorist activities, or to support other intelligence activities.;;;
Cyber Investigation (INV);Applies tactics, techniques, and procedures for a full range of investigative tools and processes to include, but not limited to, interview and interrogation techniques, surveillance, counter surveillance, and surveillance detection, and appropriately balances the benefits of prosecution versus intelligence gathering.;;;
Digital Forensics (FOR);Collects, processes, preserves, analyzes, and presents computer-related evidence in support of network vulnerability mitigation and/or criminal, fraud, counterintelligence, or law enforcement investigations.;;;
;;;;
