Work Role;Work Role Definition;Work Role ID;OPM Code (Fed Use);
Vulnerability Assessment Analyst;Performs assessments of systems and networks within the network environment or enclave and identifies where those systems/networks deviate from acceptable configurations, enclave policy, or local policy. Measures effectiveness of defense-in-depth architecture against known vulnerabilities.;PR-VAM-001;541;
Threat/Warning Analyst;Develops cyber indicators to maintain awareness of the status of the highly dynamic operating environment. Collects, processes, analyzes, and disseminates cyber threat/warning assessments.;AN-TWA-001;141;
Exploitation Analyst;Collaborates to identify access and collection gaps that can be satisfied through cyber collection and/or preparation activities. Leverages all authorized resources and analytic techniques to penetrate targeted networks.;AN-EXP-001;121;
All-Source Analyst;Analyzes data/information from one or multiple sources to conduct preparation of the environment, respond to requests for information, and submit intelligence collection and production requirements in support of planning and operations.; AN-ASA-001;111;
Mission Assessment Specialist;Develops assessment plans and measures of performance/effectiveness. Conducts strategic and operational effectiveness assessments as required for cyber events. Determines whether systems performed as expected and provides input to the determination of operational effectiveness.;AN-ASA-002;112;
Target Developer;Performs target system analysis, builds and/or maintains electronic target folders to include inputs from environment preparation, and/or internal or external intelligence sources. Coordinates with partner target activities and intelligence organizations, and presents candidate targets for vetting and validation.;AN-TGT-001;131;
Target Network Analyst;"Conducts advanced analysis of collection and open-source data to ensure target continuity; to profile targets and their activities; and develop techniques to gain more target information. Determines how targets communicate, move, operate and live based on knowledge of target technologies, digital networks, and the applications on them.";AN-TGT-002;132;
Multi-Disciplined Language Analyst;Applies language and culture expertise with target/threat and technical knowledge to process, analyze, and/or disseminate intelligence information derived from language, voice and/or graphic material. Creates and maintains language-specific databases and working aids to support cyber action execution and ensure critical knowledge sharing. Provides subject matter expertise in foreign language-intensive or interdisciplinary projects.  ;AN-LNG-001;151;
All Source-Collection Manager;"Identifies collection authorities and environment; incorporates priority information requirements into collection management; develops concepts to meet leadership's intent. Determines capabilities of available collection assets, identifies new collection capabilities; and constructs and disseminates collection plans.  Monitors execution of tasked collection to ensure effective execution of the collection plan.";CO-CLO-001;311;
All Source-Collection Requirements Manager;Evaluates collection operations and develops effects-based collection requirements strategies using available sources and methods to improve collection. Develops, processes, validates, and coordinates submission of collection requirements. Evaluates performance of collection assets and collection operations.;CO-CLO-002;312;
Cyber Intel Planner;Develops detailed intelligence plans to satisfy cyber operations requirements. Collaborates with cyber operations planners to identify, validate, and levy requirements for collection and analysis. Participates in targeting selection, validation, synchronization, and execution of cyber actions. Synchronizes intelligence activities to support organization objectives in cyberspace.;CO-OPL-001;331;
Cyber Ops Planner;Develops detailed plans for the conduct or support of the applicable range of cyber operations through collaboration with other planners, operators and/or analysts. Participates in targeting selection, validation, synchronization, and enables integration during the execution of cyber actions.;CO-OPL-002;332;
Partner Integration Planner;Works to advance cooperation across organizational or national borders between cyber operations partners. Aids the integration of partner cyber teams by providing guidance, resources, and collaboration to develop best practices and facilitate organizational support for achieving objectives in integrated cyber actions.;CO-OPL-003;333;
Cyber Operator;Conducts collection, processing, and/or geolocation of systems to exploit, locate, and/or track targets of interest. Performs network navigation, tactical forensic analysis, and, when directed, executes on-net operations.;CO-OPS-001;321;
Cyber Crime Investigator;Identifies, collects, examines, and preserves evidence using controlled and documented analytical and investigative techniques.;IN-INV-001;221;
Law Enforcement /CounterIntelligence Forensics Analyst;Conducts detailed investigations on computer-based crimes establishing documentary or physical evidence, to include digital media and logs associated with cyber intrusion incidents.;IN-FOR-001;211;
Cyber Defense Forensics Analyst;Analyzes digital evidence and investigates computer security incidents to derive useful information in support of system/network vulnerability mitigation.;IN-FOR-002;212;
